"NAME_SET","nci60","ctrp","gdscDec15","ccle","nciSclc","almanac","sarcoma","lantern","lantnci","ncats","uniSarcoma","tncats","ukhyun","ancats","acc","nob","prism","gdsc1","gdsc2","accorg","pdxEwing"
"AKT-I-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","akt-i-1","NA","akt-i-1","NA","NA","NA","NA","NA","NA","NA"
"ML-347","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ml-347","NA","ml-347","NA","NA","NA","NA","NA","NA","NA"
"PF-06650833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pf-06650833","NA","pf-06650833","NA","NA","NA","NA","NA","NA","NA"
"IDE-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ide-2","NA","ide-2","NA","NA","NA","NA","NA","NA","NA"
"GSK-484","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-484","NA","gsk-484","NA","NA","NA","NA","NA","NA","NA"
"ELACRIDAR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","elacridar","NA","elacridar","NA","NA","elacridar","NA","NA","NA","NA"
"NARINGENIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","naringenin","NA","naringenin","NA","NA","NA","NA","NA","NA","NA"
"AP-768","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ap-768","NA","ap-768","NA","NA","NA","NA","NA","NA","NA"
"TENOFOVIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tenofovir","NA","tenofovir","NA","NA","NA","NA","NA","NA","NA"
"GPLG-0634|FILGOTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","filgotinib","NA","filgotinib","NA","NA","filgotinib","NA","NA","NA","NA"
"CALHEX 231 HYDROCHLORIDE|CALHEX-231","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","calhex-231","NA","calhex-231","NA","NA","NA","NA","NA","NA","NA"
"SCH-900435|ORG-25935","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","org-25935","NA","org-25935","NA","NA","NA","NA","NA","NA","NA"
"NCGC00186528|TEPP-46","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tepp-46","NA","tepp-46","NA","NA","NA","NA","NA","NA","NA"
"RD-162","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","rd-162","NA","rd-162","NA","NA","NA","NA","NA","NA","NA"
"PREDNISOLONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","prednisolone","NA","prednisolone","NA","NA","prednisolone","NA","NA","NA","NA"
"LINCOMYCIN HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lincomycin hydrochloride","NA","lincomycin hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"FLUPIRTINE MALEATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flupirtine maleate","NA","flupirtine maleate","NA","NA","NA","NA","NA","NA","NA"
"CEFPROZIL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cefprozil","NA","cefprozil","NA","NA","NA","NA","NA","NA","NA"
"RIFABUTIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","rifabutin","NA","rifabutin","NA","NA","NA","NA","NA","NA","NA"
"RG-7845 (GDC-0853)|FENEBRUTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fenebrutinib","NA","fenebrutinib","NA","NA","NA","NA","NA","NA","NA"
"IRAK-1-4 INHIBITOR I","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","irak-1-4 inhibitor i","NA","irak-1-4 inhibitor i","NA","NA","NA","NA","NA","NA","NA"
"LY-411575 (ISOMER 2)|LY-411575","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ly-411575","NA","ly-411575","NA","NA","NA","NA","NA","NA","NA"
"CALPEPTIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","calpeptin","NA","calpeptin","NA","NA","NA","NA","NA","NA","NA"
"MELOXICAM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","meloxicam","NA","meloxicam","NA","NA","meloxicam","NA","NA","NA","NA"
"LF3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lf3","NA","lf3","NA","NA","NA","NA","NA","NA","NA"
"AMOROLFINE HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amorolfine hydrochloride","NA","amorolfine hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"BRINTELLIX|VORTIOXETINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vortioxetine","NA","vortioxetine","NA","NA","NA","NA","NA","NA","NA"
"NORADRENALINE BITARTRATE MONOHYDRATE|NOREPINEPHRINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","norepinephrine","NA","norepinephrine","NA","NA","norepinephrine","NA","NA","NA","NA"
"LY 320135|LY-320135","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ly-320135","NA","ly-320135","NA","NA","Y-320","NA","NA","NA","NA"
"FOMEPIZOLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fomepizole","NA","fomepizole","NA","NA","NA","NA","NA","NA","NA"
"CAA0225","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","caa0225","NA","caa0225","NA","NA","NA","NA","NA","NA","NA"
"MX-69","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mx-69","NA","mx-69","NA","NA","NA","NA","NA","NA","NA"
"EVOBRUTINIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","evobrutinib","NA","evobrutinib","NA","NA","NA","NA","NA","NA","NA"
"CCT-251921","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cct-251921","NA","cct-251921","NA","NA","NA","NA","NA","NA","NA"
"NEOMYCIN SULFATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","neomycin sulfate","NA","neomycin sulfate","NA","NA","NA","NA","NA","NA","NA"
"BQ-123","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bq-123","NA","bq-123","NA","NA","NA","NA","NA","NA","NA"
"PHORTRESS (NSC-710305)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","phortress (nsc-710305)","NA","phortress (nsc-710305)","NA","NA","NA","NA","NA","NA","NA"
"CHZ868","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","chz868","NA","chz868","NA","NA","NA","NA","NA","NA","NA"
"ROXITHROMYCIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","roxithromycin","NA","roxithromycin","NA","NA","NA","NA","NA","NA","NA"
"LY-2334737|LY2334737","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ly-2334737","NA","ly-2334737","NA","NA","LY2334737","NA","NA","NA","NA"
"S-FADROZOLE|FADROZOLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fadrozole","NA","fadrozole","NA","NA","NA","NA","NA","NA","NA"
"NETARSUDIL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","netarsudil","NA","netarsudil","NA","NA","NA","NA","NA","NA","NA"
"PRULIFLOXACIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","prulifloxacin","NA","prulifloxacin","NA","NA","NA","NA","NA","NA","NA"
"ZILEUTON","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zileuton","NA","zileuton","NA","NA","NA","NA","NA","NA","NA"
"VECURONIUM|VECURONIUM BROMIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","vecuronium bromide","NA","vecuronium bromide","NA","NA","NA","NA","NA","NA","NA"
"STX-0119","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","stx-0119","NA","stx-0119","NA","NA","NA","NA","NA","NA","NA"
"BI-78D3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bi-78d3","NA","bi-78d3","NA","NA","BI-78D3","NA","NA","NA","NA"
"PRT-060318","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","prt-060318","NA","prt-060318","NA","NA","NA","NA","NA","NA","NA"
"ENOBOSARM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","enobosarm","NA","enobosarm","NA","NA","NA","NA","NA","NA","NA"
"MRT-68601 HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mrt-68601 hydrochloride","NA","mrt-68601 hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"GSK-2656157|GSK2656157","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-2656157","NA","gsk-2656157","NA","NA","GSK2656157","NA","NA","NA","NA"
"GSK-6853","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-6853","NA","gsk-6853","NA","NA","NA","NA","NA","NA","NA"
"AZ 10606120","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","az 10606120","NA","az 10606120","NA","NA","NA","NA","NA","NA","NA"
"LLY-507","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lly-507","NA","lly-507","NA","NA","NA","NA","NA","NA","NA"
"TELMISARTAN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","telmisartan","NA","telmisartan","NA","NA","NA","NA","NA","NA","NA"
"LDN-57444","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ldn-57444","NA","ldn-57444","NA","NA","LDN-57444","NA","NA","NA","NA"
"DICLOFENSINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","diclofensine","NA","diclofensine","NA","NA","NA","NA","NA","NA","NA"
"PRADIGASTAT SODIUM|PRADIGASTAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pradigastat","NA","pradigastat","NA","NA","NA","NA","NA","NA","NA"
"REBAMIPIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","rebamipide","NA","rebamipide","NA","NA","NA","NA","NA","NA","NA"
"NORBINALTORPHIMINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","norbinaltorphimine","NA","norbinaltorphimine","NA","NA","NA","NA","NA","NA","NA"
"WYE-354","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","wye-354","NA","wye-354","NA","NA","WYE-354","NA","NA","NA","NA"
"AZ-82","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","az-82","NA","az-82","NA","NA","NA","NA","NA","NA","NA"
"LTX-315|RUXOTEMITIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ruxotemitide","NA","ruxotemitide","NA","NA","NA","NA","NA","NA","NA"
"GDC-0326","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gdc-0326","NA","gdc-0326","NA","NA","NA","NA","NA","NA","NA"
"ADX-47273","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","adx-47273","NA","adx-47273","NA","NA","NA","NA","NA","NA","NA"
"5-FLUORO-5'-DEOXYURIDINE|DOXIFLURIDINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","doxifluridine","NA","doxifluridine","NA","NA","doxifluridine","NA","NA","NA","NA"
"SELETALISIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","seletalisib","NA","seletalisib","NA","NA","NA","NA","NA","NA","NA"
"THZ-2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","thz-2","NA","thz-2","NA","NA","NA","NA","NA","NA","NA"
"RIBOFLAVIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","riboflavin","NA","riboflavin","NA","NA","riboflavin","NA","NA","NA","NA"
"BASMISANIL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","basmisanil","NA","basmisanil","NA","NA","NA","NA","NA","NA","NA"
"FORMESTANE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","formestane","NA","formestane","NA","NA","formestane","NA","NA","NA","NA"
"AS-1940477","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","as-1940477","NA","as-1940477","NA","NA","NA","NA","NA","NA","NA"
"MK 0524 SODIUM SALT|LAROPIPRANT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","laropiprant","NA","laropiprant","NA","NA","NA","NA","NA","NA","NA"
"MOROXYDINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","moroxydine","NA","moroxydine","NA","NA","NA","NA","NA","NA","NA"
"OXCARBAZEPINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","oxcarbazepine","NA","oxcarbazepine","NA","NA","oxcarbazepine","NA","NA","NA","NA"
"S6K-18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","s6k-18","NA","s6k-18","NA","NA","NA","NA","NA","NA","NA"
"A 804598","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","a 804598","NA","a 804598","NA","NA","NA","NA","NA","NA","NA"
"ESOMEPRAZOLE SODIUM|OMEPRAZOLE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","omeprazole","NA","omeprazole","NA","NA","omeprazole","NA","NA","NA","NA"
"3-BDO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3-bdo","NA","NA","NA","NA","NA","NA","NA"
"XCT-790","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","xct-790","NA","xct-790","NA","NA","NA","NA","NA","NA","NA"
"EZUTROMID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ezutromid","NA","ezutromid","NA","NA","NA","NA","NA","NA","NA"
"BTM-2C-DIMER KETONE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","btm-2c-dimer ketone","NA","btm-2c-dimer ketone","NA","NA","NA","NA","NA","NA","NA"
"OZAGREL HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ozagrel hydrochloride","NA","ozagrel hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"LEMBOREXANT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lemborexant","NA","lemborexant","NA","NA","NA","NA","NA","NA","NA"
"XIMELAGATRAN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ximelagatran","NA","ximelagatran","NA","NA","NA","NA","NA","NA","NA"
"GSK3787|GSK-3787","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-3787","NA","gsk-3787","NA","NA","NA","NA","NA","NA","NA"
"MANIDIPINE DIHYDROCHLORIDE|MANIDIPINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","manidipine","NA","manidipine","NA","NA","NA","NA","NA","NA","NA"
"RESATORVID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","resatorvid","NA","resatorvid","NA","NA","resatorvid","NA","NA","NA","NA"
"UNC2025|UNC-2025","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","unc-2025","NA","unc-2025","NA","NA","NA","NA","NA","NA","NA"
"LRRK2-IN-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","lrrk2-in-1","NA","lrrk2-in-1","NA","NA","NA","NA","NA","NA","NA"
"PARICALCITOL-D6 (ABT-358)|PARICALCITOL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","paricalcitol","NA","paricalcitol","NA","NA","paricalcitol","NA","NA","NA","NA"
"ZAFIRLUKAST","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","zafirlukast","NA","zafirlukast","NA","NA","NA","NA","NA","NA","NA"
"ALBENDAZOLE OXIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","albendazole oxide","NA","albendazole oxide","NA","NA","albendazole","NA","NA","NA","NA"
"KI-20227","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ki-20227","NA","ki-20227","NA","NA","NA","NA","NA","NA","NA"
"ANIRACETAM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","aniracetam","NA","aniracetam","NA","NA","NA","NA","NA","NA","NA"
"KPT-276","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","kpt-276","NA","kpt-276","NA","NA","KPT-276","NA","NA","NA","NA"
"TORCETRAPIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","torcetrapib","NA","torcetrapib","NA","NA","torcetrapib","NA","NA","NA","NA"
"NESBUVIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nesbuvir","NA","nesbuvir","NA","NA","NA","NA","NA","NA","NA"
"WEHI-539","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","wehi-539","NA","wehi-539","NA","NA","NA","NA","WEHI-539","NA","NA"
"GENISTIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","genistin","NA","genistin","NA","NA","NA","NA","NA","NA","NA"
"BTM-2C-DIMER ALLYL OXIME","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","btm-2c-dimer allyl oxime","NA","btm-2c-dimer allyl oxime","NA","NA","NA","NA","NA","NA","NA"
"SP-2509","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sp-2509","NA","sp-2509","NA","NA","NA","NA","NA","NA","NA"
"TANZISERTIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tanzisertib","NA","tanzisertib","NA","NA","NA","NA","NA","NA","NA"
"TIZANIDINE|TIZANIDINE HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tizanidine hydrochloride","NA","tizanidine hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"NATAMYCIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","natamycin","NA","natamycin","NA","NA","NA","NA","NA","NA","NA"
"SKI-II","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ski-ii","NA","ski-ii","NA","NA","SKI-II","NA","NA","NA","NA"
"LINAGLIPTIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","linagliptin","NA","linagliptin","NA","NA","NA","NA","NA","NA","NA"
"AMG-548","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amg-548","NA","amg-548","NA","NA","NA","NA","NA","NA","NA"
"IVOSIDENIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ivosidenib","NA","ivosidenib","NA","NA","NA","NA","NA","NA","NA"
"TOREMIFENE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","toremifene","NA","toremifene","NA","NA","toremifene","NA","NA","NA","NA"
"DACLATASVIR DIHYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","daclatasvir dihydrochloride","NA","daclatasvir dihydrochloride","NA","NA","daclatasvir","NA","NA","NA","NA"
"ISOCONAZOLE NITRATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","isoconazole nitrate","NA","isoconazole nitrate","NA","NA","NA","NA","NA","NA","NA"
"GR-159897","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gr-159897","NA","gr-159897","NA","NA","NA","NA","NA","NA","NA"
"STF-083010","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","stf-083010","NA","stf-083010","NA","NA","NA","NA","NA","NA","NA"
"OSIMERTINIB|NA, AZD-9291|N-{2-[(2-DIMETHYLAMINOETHYL)METHYLAMINO]-4-METHOXY-5-[4-...|2-PROPENAMIDE, N-[2-[[2-(DIMETHYLAMINO)ETHYL]METHYLAMINO...|AZD9291|800812|779217|OSIMERTINIB MESYLATE","800812|779217","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","osimertinib mesylate","NA","osimertinib mesylate","NA","NA","osimertinib","NA","Osimertinib","NA","NA"
"A-803467","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","a-803467","NA","a-803467","NA","NA","A-803467","NA","NA","NA","NA"
"RASAGILINE|RASAGILINE MESYLATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","rasagiline mesylate","NA","rasagiline mesylate","NA","NA","NA","NA","NA","NA","NA"
"RO-9021","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ro-9021","NA","ro-9021","NA","NA","NA","NA","NA","NA","NA"
"CIDOFOVIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cidofovir","NA","cidofovir","NA","NA","cidofovir","NA","NA","NA","NA"
"MOSAPRIDE CITRATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mosapride citrate","NA","mosapride citrate","NA","NA","NA","NA","NA","NA","NA"
"PINORUBICIN|PIRARUBICIN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pirarubicin","NA","pirarubicin","NA","NA","NA","NA","NA","NA","NA"
"ESTRIOL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","estriol","NA","estriol","NA","NA","NA","NA","NA","NA","NA"
"QUIFLAPON SODIUM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","quiflapon sodium","NA","quiflapon sodium","NA","NA","NA","NA","NA","NA","NA"
"AC-261066","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ac-261066","NA","ac-261066","NA","NA","NA","NA","NA","NA","NA"
"CAP-232|CAP-232, TT-232, TLN-232","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cap-232","NA","cap-232","NA","NA","NA","CAP-232, TT-232, TLN-232","NA","NA","NA"
"THEOBROMINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","theobromine","NA","theobromine","NA","NA","NA","NA","NA","NA","NA"
"SM-164","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sm-164","NA","sm-164","NA","NA","NA","NA","NA","NA","NA"
"NCGC00185053","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ncgc00185053","NA","ncgc00185053","NA","NA","NA","NA","NA","NA","NA"
"MITIGLINIDE CALCIUM|MITIGLINIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mitiglinide","NA","mitiglinide","NA","NA","NA","NA","NA","NA","NA"
"DOXERCALCIFEROL-D3|DOXERCALCIFEROL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","doxercalciferol","NA","doxercalciferol","NA","NA","doxercalciferol","NA","NA","NA","NA"
"17-BETA-ESTRADIOL|ESTRADIOL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","estradiol","NA","estradiol","NA","NA","estradiol","NA","NA","NA","NA"
"GSK2879552|GSK-2879552","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gsk-2879552","NA","gsk-2879552","NA","NA","NA","NA","NA","NA","NA"
"CLOBETASOL PROPIONATE|CLOBETASOL-PROPIONATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","clobetasol propionate","NA","clobetasol propionate","NA","NA","clobetasol-propionate","NA","NA","NA","NA"
"HA-1077|FASUDIL HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fasudil hydrochloride","NA","fasudil hydrochloride","NA","NA","NA","NA","NA","NA","NA"
"NEVIRAPINE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","nevirapine","NA","nevirapine","NA","NA","NA","NA","NA","NA","NA"
"MK-1064","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","mk-1064","NA","mk-1064","NA","NA","NA","NA","NA","NA","NA"
"ETHYL 3-[(E)-2-AMINO-1-CYANOETHENYL]-6,7-DICHLORO-1-METHYL-1H-INDOLE-2-CARBOXYLATE|KH-CB19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","kh-cb19","NA","kh-cb19","NA","NA","NA","NA","NA","NA","NA"
"DORZOLAMIDE HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","dorzolamide hydrochloride","NA","dorzolamide hydrochloride","NA","NA","dorzolamide","NA","NA","NA","NA"
"PYRIDINE-4-CARBOHYDRAZIDE|ISONIAZID","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","isoniazid","NA","isoniazid","NA","NA","NA","NA","NA","NA","NA"
"SR-3306","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","sr-3306","NA","sr-3306","NA","NA","NA","NA","NA","NA","NA"
"PFK-158","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pfk-158","NA","pfk-158","NA","NA","NA","NA","NA","NA","NA"
"MK-8931|VERUBECESTAT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","verubecestat","NA","verubecestat","NA","NA","NA","NA","NA","NA","NA"
"CCT-137690|CCT137690","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cct-137690","NA","cct-137690","NA","NA","CCT137690","NA","NA","NA","NA"
"BAY-588","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bay-588","NA","bay-588","NA","NA","NA","NA","NA","NA","NA"
"BMS-983970","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","bms-983970","NA","bms-983970","NA","NA","NA","NA","NA","NA","NA"
"AMG-47A","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amg-47a","NA","amg-47a","NA","NA","NA","NA","NA","NA","NA"
"PD173955|PD-173955","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pd-173955","NA","pd-173955","NA","NA","NA","NA","NA","NA","NA"
"GNF-7|GNF 7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gnf 7","NA","gnf 7","NA","NA","NA","NA","NA","NA","NA"
"CPI-360","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","cpi-360","NA","cpi-360","NA","NA","NA","NA","NA","NA","NA"
"WAY-262611","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","way-262611","NA","way-262611","NA","NA","NA","NA","NA","NA","NA"
"A-419259","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","a-419259","NA","a-419259","NA","NA","NA","NA","NA","NA","NA"
"PAPAVERINE HYDROCHLORIDE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","papaverine hydrochloride","NA","papaverine hydrochloride","NA","NA","papaverine","NA","NA","NA","NA"
"GENTAMICIN SULFATE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","gentamicin sulfate","NA","gentamicin sulfate","NA","NA","NA","NA","NA","NA","NA"
"WDR5-C47","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","wdr5-c47","NA","wdr5-c47","NA","NA","NA","NA","NA","NA","NA"
"PIK-293","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pik-293","NA","pik-293","NA","NA","NA","NA","NA","NA","NA"
"TOCERANIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","toceranib","NA","toceranib","NA","NA","NA","NA","NA","NA","NA"
"PD-128907","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pd-128907","NA","pd-128907","NA","NA","NA","NA","NA","NA","NA"
"WZ-8040|WZ8040","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","wz-8040","NA","wz-8040","NA","NA","WZ8040","NA","NA","NA","NA"
"CALCITRIOL (RO-21-5535)|CALCITRIOL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","calcitriol","NA","calcitriol","NA","NA","calcitriol","NA","NA","NA","NA"
