,Drug Name,DrugBank ID,PubChem CID,PubChem SID,SMILES,Targets Name,Targets
3846,DIMETHYL THIOPHOSPHATE,DB04687,168140,46507923,COP(O)(=S)OC,['Phosphotriesterase'],['Q93LD7']
3847,Methylecgonine,DB04688,104904,46509033,[H][C@@]12CC[C@@]([H])(N1C)[C@@]([H])(C(=O)OC)[C@@]([H])(O)C2,"['Ig gamma-2 chain C region', 'Ig kappa chain C region']","['P01859', 'P01834']"
3848,2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,DB04689,6102812,46506649,CCCC1=C(OCCCOC2=CC3=C(C=C2)N(CC(O)=O)C=C3)C=CC2=C1C=CC(=C2)C(=O)C1=CC=CC=C1,['Peroxisome proliferator-activated receptor gamma'],['P37231']
3849,Camptothecin,DB04690,24360,46507644,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=CC=CC=C4N=C13)C2=O,['DNA topoisomerase 1'],['P11387']
3850,"Estrane-3,17-dione",DB04693,5288172,46506451,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12[H],['Steroid Delta-isomerase'],['P00947']
3851,Farnesyl thiopyrophosphate,DB04695,657041,46506151,[H]\C(CC\C(C)=C(/[H])CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C,"['Geranylgeranyl pyrophosphate synthase', 'Mevalonate kinase', 'Dehydrosqualene synthase', 'Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)']","['O95749', 'Q03426', 'A9JQL9', 'P60472']"
3852,"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN",DB04696,5288329,46505627,OC1=C(Br)C=C(C=C1)C1(OC(=O)C2=C3C(C=CC=C13)=C(Cl)C=C2)C1=CC(Br)=C(O)C=C1,['Thymidylate synthase'],['P0A884']
3853,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,DB04697,5288332,46507271,NC(N)=NCCCC[C@H](NC(=O)[C@@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H]1CCN1C(=O)[C@@H](CC1CCCCC1)NC(=O)[C@@H]1CC[C@H](CN=C(N)N)CC1)C(N)=O,['Prothrombin'],['P00734']
3854,"N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide",DB04698,6102777,46508103,[H]N(C1=NN([H])N=N1)S(=O)(=O)C1=CC2=C(OC3=CC=CC=C3C2=O)C=C1,['3-dehydroquinate dehydratase'],['Q48255']
3855,gamma-Butyrolactone,DB04699,7302,46508619,O=C1CCCO1,['O-GlcNAcase NagJ'],['Q8XL08']
3856,GLUTATHIONE SULFINATE,DB04700,5326960,46506088,N[C@@H](CCC(=O)N[C@@H](C[S@](O)=O)C(=O)NCC(O)=O)C(O)=O,['Glutathione S-transferase kappa 1'],['Q9Y2Q3']
3857,S-Methyl glutathione,DB04701,115260,46507560,CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,['Glutathione S-transferase Mu 2'],['P28161']
3858,"S-[(2E)-3,7-DIMETHYLOCTA-2,6-DIENYL] TRIHYDROGENTHIODIPHOSPHATE",DB04702,5288476,46507778,[H]\C(CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C,['Prenyltransferase'],['Q4R2T2']
3859,Hesperidin,DB04703,10621,46506898,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O,['Aurora kinase B'],['Q96GD4']
3860,Hydroxyfasudil,DB04707,3064778,46508609,O=C1NC=CC2=C(C=CC=C12)S(=O)(=O)N1CCCNCC1,"['cAMP-dependent protein kinase catalytic subunit alpha', 'cAMP-dependent protein kinase inhibitor alpha', 'Rho-associated protein kinase 1']","['P17612', 'P61925', 'Q13464']"
3861,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",DB04709,5326911,46506034,[H][C@]12C(=O)N(C(=O)[C@@]1([H])[C@]1([H])CC[C@@]2([H])CC1)C1=CC=C(C2=CC=CC=C12)[N+]([O-])=O,['Androgen receptor'],['P10275']
3862,4-Iodo-D-phenylalanine,DB04713,2733279,46506344,[H][C@@](N)(CC1=CC=C(I)C=C1)C(O)=O,['Aminopeptidase S'],['P80561']
3863,ISOPENTENYL PYROPHOSPHATE,DB04714,1195,46508890,CC(=C)CCO[P@](O)(=O)OP(O)(O)=O,"['Geranylgeranyl pyrophosphate synthase', '2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase', 'Decaprenyl diphosphate synthase', '4-hydroxy-3-methylbut-2-enyl diphosphate reductase', 'Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)', 'Farnesyl pyrophosphate synthase']","['O95749', 'A0R559', 'P9WFF7', 'P62623', 'P60472', 'P14324']"
3864,IMIDAZOPYRIDAZIN 1,DB04715,5459373,46508601,CC(=O)C1=CC=CC(=C1)C1=CN=C2C=CC(NCC3CC3)=NN12,['Serine/threonine-protein kinase pim-1'],['P11309']
3865,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",DB04716,5494425,46505719,CC(C)(C)C1=NC2=C3C=CNC(=O)C3=C3C=C(F)C=CC3=C2N1,"['Death-associated protein kinase 3', 'Tyrosine-protein kinase JAK1', 'Tyrosine-protein kinase JAK3', 'Non-receptor tyrosine-protein kinase TYK2', 'Tyrosine-protein kinase JAK2']","['O43293', 'P23458', 'P52333', 'P29597', 'O60674']"
3866,"DIMETHYL-(4,5,6,7-TETRABROMO-1H-BENZOIMIDAZOL-2-YL)-AMINE",DB04719,5326976,46505025,CN(C)C1=NC2=C(Br)C(Br)=C(Br)C(Br)=C2N1,['Casein kinase II subunit alpha'],['P68400']
3867,"S-METHYL-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",DB04720,5326977,46505950,CSC1=NC2=C(N1)C(Br)=C(Br)C(Br)=C2Br,['Casein kinase II subunit alpha'],['P68400']
3868,"N1,N2-ETHYLENE-2-METHYLAMINO-4,5,6,7-TETRABROMO-BENZIMIDAZOLE",DB04721,5326978,46505860,CN1CCN2C1=NC1=C(Br)C(Br)=C(Br)C(Br)=C21,['Casein kinase II subunit alpha'],['P68400']
3869,"2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-N-[(1R)-1-(3-chlorophenyl)ethyl]acetamide",DB04722,4369429,46507669,C[C@@H](NC(=O)CC1=C(Cl)C=C\C(=N/CC(F)(F)C2=CC=CC=[N+]2[O-])N1O)C1=CC(Cl)=CC=C1,['Prothrombin'],['P00734']
3870,2-(3-GUANIDINOPHENYL)-3-MERCAPTOPROPANOIC ACID,DB04723,4369579,46505717,NC(N)=NC1=CC=CC(=C1)[C@@H](CS)C(O)=O,['Carboxypeptidase B'],['P15086']
3871,"(S)-2-((S)-3-isobutyl-2,5-dioxo-4-quinolin-3-ylmethyl-[1,4]diazepan-1yl)-N-methyl-3-naphtalen-2-yl-propionamide",DB04724,5326914,46505747,CNC(=O)[C@H](CC1=CC2=CC=CC=C2C=C1)N1CCC(=O)N(CC2=CC3=CC=CC=C3N=C2)[C@@H](CC(C)C)C1=O,['Integrin alpha-L'],['P20701']
3872,Licofelone,DB04725,133021,175426859,CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"['Arachidonate 5-lipoxygenase', 'Prostaglandin G/H synthase 2', 'Group IIE secretory phospholipase A2']","['P09917', 'P35354', 'Q9NZK7']"
3873,"1-{4-[4-Amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-3-[2-fluoro-5-(trifluoromethyl)phenyl]urea",DB04727,5326956,46508012,COC1=CC=C(C=C1)C1=C(C2=C(N)N=CN=C2O1)C1=CC=C(NC(=O)NC2=C(F)C=CC(=C2)C(F)(F)F)C=C1,['Vascular endothelial growth factor receptor 2'],['P35968']
3874,Gentamicin C1a,DB04729,72396,46505724,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O,"['30S ribosomal protein S12', '16S ribosomal RNA']",['P0A7S3']
3875,1-ACETYL-2-LYSO-SN-GLYCERO-3-PHOSPHOETHANOLAMINE,DB04731,6102806,46508927,CC(=O)OC[C@H](O)CO[P@](O)(=O)OCC[NH3+],['Lantibiotic cinnamycin'],['P29827']
3876,N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,DB04732,387442,46505262,[H][C@@](CC(C)C)(NC(=O)[C@@]([H])(CC1=C2C=CC=CC2=CC=C1)NC(=O)N1CCOCC1)B(O)O,"['Proteasome subunit beta', 'Proteasome subunit alpha']","['P9WHT9', 'P9WHU1']"
3877,"1,6-DI-O-PHOSPHONO-D-MANNITOL",DB04733,4369446,46508477,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,['Fructose-bisphosphate aldolase A'],['P04075']
3878,Citraconic acid,DB04734,643798,46505839,C\C(=C\C(O)=O)C(O)=O,['Fumarate reductase flavoprotein subunit'],['P0C278']
3879,MONOGALACTOSYL-DIACYLGLYCEROL,DB04735,5327038,46507411,CCCCCCCCCCCCCCCC(=O)O[C@@H](CO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O)COC(=O)CCCCCCCCCCCC,['Photosystem Q(B) protein 1'],['P0A444']
3880,"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOPYRANOSE(BETA1-4)-2-ACETAMIDO-1,6-ANHYDRO-3-O-[(R)-1-CARBOXYETHYL]-2-DEOXY-BETA-D-GLUCOPYRANOSE-L-ALANYL-GAMMA-D-GLUTAMYL-MESO-DIAMINOPIMELYL-D-ALANINE",DB04736,163626,46508748,C[C@@H](NC(=O)[C@H](CCC[C@@H](N)C(O)=O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H]2OC[C@@H](O2)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(O)=O)C(O)=O,['Peptidoglycan recognition protein 3'],['Q96LB9']
3881,Motuporin,DB04738,4369034,46508386,[H]N1[C@H](CCC(=O)N(C)\C(=C/C)C(=O)N([H])[C@H]([C@H](C)C(=O)N([H])[C@@H](C(C)C)C(=O)N([H])[C@@H](\C=C\C(\C)=C\[C@H](C)[C@H](CC2=CC=CC=C2)OC)[C@H](C)C1=O)C(O)=O)C(O)=O,['Serine/threonine-protein phosphatase PP1-gamma catalytic subunit'],['P36873']
3882,4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,DB04739,4369496,46508207,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1,['Proto-oncogene tyrosine-protein kinase Src'],['P12931']
3883,Moxalactam (hydrolyzed),DB04740,5288864,46507244,[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,['Metallo-beta-lactamase L1'],['P52700']
3884,Myxothiazol,DB04741,10972974,46507900,CO[C@@H](\C=C\C1=CSC(=N1)C1=CSC(=N1)[C@@H](C)\C=C\C=C\C(C)C)[C@@H](C)C(\OC)=C/C(N)=O,"['Cytochrome b-c1 complex subunit 1, mitochondrial']",['P31930']
3885,"(2R)-2-{(1R)-2-oxo-1-[(2-thienylacetyl)amino]ethyl}-5,6-dihydro-2h-1,3-thiazine-4-carboxylic acid",DB04742,5288990,46505603,[H][C@@](NC(=O)CC1=CC=CS1)(C=O)[C@@]1([H])SCCC(=N1)C(O)=O,['D-alanyl-D-alanine carboxypeptidase'],['P39045']
3886,Nimesulide,DB04743,4495,46507721,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,"['Prostaglandin G/H synthase 2', 'Group IIE secretory phospholipase A2', 'Lactotransferrin']","['P35354', 'Q9NZK7', 'P02788']"
3887,2-Hydroxyquinoline,DB04745,6038,46507969,O=C1NC2=C(C=CC=C2)C=C1,"['2-oxo-1,2-dihydroquinoline 8-monooxygenase, oxygenase component']",['O05935']
3888,"(10E,12Z)-octadecadienoic acid",DB04746,5282800,46507143,CCCCC\C=C/C=C/CCCCCCCCC(O)=O,['Putative aminooxidase'],['Q6A8X5']
3889,11-TRANS-13-TRANS-15-CIS-OCTADECATRIENOIC ACID,DB04747,5494436,46507059,CC\C=C/C=C/C=C/CCCCCCCCCC(O)=O,['Putative aminooxidase'],['Q6A8X5']
3890,2-(3-OXO-PROPYLSULFANYLCARBONYL)-ETHANETHIOLATE,DB04749,5289078,46506358,[S-]CCC(=O)SCCC=O,['Beta-lactamase IMP-1'],['P52699']
3891,Purvalanol A,DB04751,456214,46506488,[H][C@@](CO)(NC1=NC(NC2=CC=CC(Cl)=C2)=C2N=CN(C(C)C)C2=N1)C(C)C,"['Casein kinase I isoform gamma-3', 'Ribosomal protein S6 kinase alpha-1', 'Proto-oncogene tyrosine-protein kinase Src']","['Q9Y6M4', 'Q15418', 'P12931']"
3892,Phosphatidyl ethanol,DB04752,52946593,46504958,[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO,['Steroidogenic factor 1'],['Q13285']
3893,"9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",DB04753,5327013,46508981,OC[C@H]1O[C@H]([C@@H]2O[C@H](CP(O)(O)=O)O[C@H]12)C1=CNC2=C1NC=NC2=O,['Purine nucleoside phosphorylase'],['P00491']
3894,"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",DB04754,5327012,46506626,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](CP(O)(O)=O)O[C@@H]12,['Purine nucleoside phosphorylase'],['P00491']
3895,"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE",DB04757,5327014,46505178,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O,['Purine nucleoside phosphorylase'],['P00491']
3896,2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE),DB04758,5326883,46508470,CCS(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC1=CC=C(C=C1)C(N)=N,['Coagulation factor VII'],['P08709']
3897,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(3-METHYL-BENZYLAMIDE)",DB04759,5289109,46508426,CC1=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC=CC(C)=C2)=CC=C1,['Collagenase 3'],['P45452']
3898,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)",DB04760,5289110,46504472,CC1=C(F)C=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC(C)=C(F)C=C2)=C1,['Collagenase 3'],['P45452']
3899,"PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-[(PYRIDIN-3-YLMETHYL)-AMIDE]",DB04761,5289111,46507115,O=C(NCC1=CC=CN=C1)C1=CC(=NC=N1)C(=O)NCC1=CN=CC=C1,['Collagenase 3'],['P45452']
3900,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,DB04762,4369489,46506563,CC1=NC=C(COP(O)(O)=O)C(CN[C@H](CCC(O)=O)C(O)=O)=C1O,['Aspartate aminotransferase'],['P00509']
3901,"1-N-(4-SULFAMOYLPHENYL-ETHYL)-2,4,6-TRIMETHYLPYRIDINIUM",DB04763,5289159,46504996,CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1,['Carbonic anhydrase 2'],['P00918']
3902,[4-(3-AMINOMETHYL-PHENYL)-PIPERIDIN-1-YL]-(5-PHENETHYL- PYRIDIN-3-YL)-METHANONE,DB04764,657077,46506605,NCC1=CC=CC(=C1)C1CCN(CC1)C(=O)C1=CC(CCC2=CC=CC=C2)=CN=C1,['Tryptase beta-2'],['P20231']
3903,N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,DB04765,4369488,46504740,CC1=NC=C(COP(O)(O)=O)C(CN[C@@](C)(CCC(O)=O)C(O)=O)=C1O,['Aspartate aminotransferase'],['P00509']
3904,N-[1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-3-METHYLSULFANYL-PROPYL]-3-HYDROXY-2-PROPOXYAMINO-BUTYRAMID,DB04767,5289214,46505133,CCCS(=O)(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H](CCSC)C(=O)NCC1=CC=C(C=C1)C(N)=N,['Coagulation factor VII'],['P08709']
3905,Pyrithiamine Pyrophosphate,DB04768,5327150,46507393,CC1=NC=C(C[N+]2=CC=CC(CCO[P@](O)(=O)OP(O)(O)=O)=C2C)C(N)=N1,['Thiamin pyrophosphokinase 1'],['Q9H3S4']
3906,"5-QUINOXALIN-6-YLMETHYLENE-THIAZOLIDINE-2,4-DIONE",DB04769,5289247,46508826,O=C1NC(=O)\C(S1)=C\C1=CC2=C(C=C1)N=CC=N2,"['Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform']",['P48736']
3907,"O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL",DB04770,4369502,46508756,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(OCC2=CC=CC=C2)=N1,['Pyridoxal kinase'],['O00764']
3908,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,DB04771,5494439,46506641,CC(C)C[C@H](NC(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N,['Prothrombin'],['P00734']
3909,1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE,DB04772,5494440,46507293,CC(C)C[C@H](NS(=O)(=O)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N,['Prothrombin'],['P00734']
3910,METHYL (3R)-3-{[(3R)-3-{[(3R)-3-HYDROXYBUTANOYL]OXY}BUTANOYL]OXY}BUTANOATE,DB04773,49867580,46505033,[H][C@](C)(O)CC(=O)O[C@]([H])(C)CC(=O)O[C@]([H])(C)CC(=O)OC,"['Polyhydroxybutyrate depolymerase, putative']",['Q4W9V8']
3911,Reidispongiolide A,DB04774,5289284,46505889,CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)\C[C@H](CC2=CC(=O)O[C@H](C2)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@H](C[C@@H](OC)\C=C\[C@@H]1C)OC)OC)OC,"['Actin, alpha skeletal muscle']",['P68133']
3912,Reidispongiolide C,DB04775,52946592,46506095,[H]/C1=C([H])\C(=O)O[C@]([H])([C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)CCC(=O)[C@]([H])(C)[C@@]([H])(CCC(O)=O)OC)[C@@]([H])(C)\C([H])=C([H])\[C@@]([H])(C[C@]([H])(OC)[C@@]([H])(C)\C([H])=C([H])\[C@]([H])(C[C@]([H])(OC)[C@@]([H])(C)[C@@]2([H])CC(C[C@@]([H])(C\C(C)=C\1/[H])OC)=CC(=O)O2)OC)OC,"['Actin, alpha skeletal muscle']",['P68133']
3913,(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,DB04776,5289296,46506238,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(=N1)N(C)CC1=CC=CC=C1,['Pyridoxal kinase'],['O00764']
3914,(R)-4-Nitrostyrene oxide,DB04777,1237170,46507469,[O-][N+](=O)C1=CC=C(C=C1)[C@@H]1CO1,['Halohydrin dehalogenase'],['Q93D82']
3915,ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE,DB04779,9600421,46504506,CCS\C(CC1=CC=CC=C1)=N/OS(O)(=O)=O,['Lactase-phlorizin hydrolase'],['P09848']
3916,5-hydroxyvaleric acid,DB04781,25945,46508916,OCCCCC(O)=O,['Delta-aminolevulinic acid dehydratase'],['P13716']
3917,(S)-4-Nitrostyrene oxide,DB04782,1237169,46507564,[O-][N+](=O)C1=CC=C(C=C1)[C@H]1CO1,"['2,3-dichloro-1-propanol dehalogenase']",['Q7AUG5']
3918,Sphinxolide B,DB04783,46937020,46505903,CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)/C[C@H](CC2=CC(=O)O[C@H]([C@H]2O)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@@H](O)C[C@@H](OC)\C=C\[C@@H]1C)OC)OC,"['Actin, alpha skeletal muscle']",['P68133']
3919,(R)-1-phenylethanol,DB04784,637516,46507442,C[C@@H](O)C1=CC=CC=C1,['R-specific alcohol dehydrogenase'],['Q84EX5']
3920,Suramin,DB04786,5361,46507013,CC1=C(NC(=O)C2=CC(NC(=O)NC3=CC=CC(=C3)C(=O)NC3=C(C)C=CC(=C3)C(=O)NC3=C4C(C=C(C=C4S(O)(=O)=O)S(O)(=O)=O)=C(C=C3)S(O)(=O)=O)=CC=C2)C=C(C=C1)C(=O)NC1=C2C(C=C(C=C2S(O)(=O)=O)S(O)(=O)=O)=C(C=C1)S(O)(=O)=O,"['P2Y purinoceptor 2', 'NAD-dependent protein deacylase sirtuin-5, mitochondrial', 'Follicle-stimulating hormone receptor', 'Ryanodine receptor 1', 'Prothrombin', 'Phospholipase A2, membrane associated', 'Complement control protein C3']","['P41231', 'Q9NXA8', 'P23945', 'P21817', 'P00734', 'P14555', 'P68638']"
3921,Tanaproget,DB04787,4369524,46509047,CN1C(=CC=C1C1=CC=C2NC(=S)OC(C)(C)C2=C1)C#N,['Progesterone receptor'],['P06401']
3922,Tagetitoxin,DB04788,5327077,46506068,[H]N([H])[C@H]1[C@@H](OC(C)=O)[C@@]2([H])O[C@](CS[C@@]2(O)C(=O)N([H])[H])([C@@H]1OP(O)(O)=O)C(O)=O,"['DNA-directed RNA polymerase subunit beta', ""DNA-directed RNA polymerase subunit beta'""]","['Q8RQE9', 'Q8RQE8']"
3923,5-methyltetrahydrofolic acid,DB04789,9825434,46505172,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2,"['Aminomethyltransferase, mitochondrial']",['P48728']
3924,"2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol",DB04790,5326924,46506329,[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC(=CC=C1)C(N)=N,['Trypsin-1'],['P07477']
3925,"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",DB04791,5326925,46508954,[H][C@@]1(CO[C@]2([H])[C@@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N,['Trypsin-1'],['P07477']
3926,"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL",DB04792,5326926,46506156,[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=C(C=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N,['Trypsin-1'],['P07477']
3927,"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",DB04793,5326927,46504675,[H]N=C(N([H])[H])C1=CC=C(O[C@@H]2CO[C@]3([H])[C@H](CO[C@]23[H])OC2=CC=CC(=C2)C(=N[H])N([H])[H])C=C1,['Trypsin-1'],['P07477']
3928,Bifonazole,DB04794,2378,46507284,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,"['Cytochrome P450 51', 'Cytochrome P450 2B6']","['P10613', 'P20813']"
3929,Thenoyltrifluoroacetone,DB04795,5601,46504456,FC(F)(F)C(=O)CC(=O)C1=CC=CS1,"['Liver carboxylesterase 1', 'Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial']","['P23141', 'P31040']"
3930,Inecalcitol,DB04796,6915835,46504586,[H][C@@]1(CC[C@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)CC#CC(C)(C)O,['Vitamin D3 receptor'],['P11473']
3931,Triazolopyridine,DB04797,5289514,46506220,CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC=C(F)C=C1,['Mitogen-activated protein kinase 14'],['Q16539']
3932,THIO-ATPA,DB04798,5289517,46508906,[H][C@]([NH3+])(CC1=C(SN=C1[O-])C(C)(C)C)C(O)=O,['Glutamate receptor 2'],['P42262']
3933,"6-Hydroxy-5-undecyl-4,7-benzothiazoledione",DB04799,3016416,46507980,CCCCCCCCCCCC1=C(O)C(=O)C2=C(N=CS2)C1=O,"['Cytochrome c1, heme protein, mitochondrial', 'Cytochrome b', 'Cytochrome b-c1 complex subunit 1, mitochondrial', 'Cytochrome b-c1 complex subunit 2, mitochondrial', 'Cytochrome b-c1 complex subunit 6, mitochondrial', 'Cytochrome b-c1 complex subunit 8', 'Cytochrome b-c1 complex subunit Rieske, mitochondrial', 'Cytochrome b-c1 complex subunit 10', 'Cytochrome b-c1 complex subunit 7', 'Cytochrome b-c1 complex subunit 9']","['P08574', 'P00156', 'P31930', 'P22695', 'P07919', 'O14949', 'P47985', 'O14957', 'P14927', 'Q9UDW1']"
3934,1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,DB04800,5327154,46507993,CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1,['Tyrosine-protein phosphatase non-receptor type 1'],['P18031']
3935,cis-Vaccenic acid,DB04801,5282761,46507844,CCCCCC\C=C/CCCCCCCCCC(O)=O,['Peroxisome proliferator-activated receptor delta'],['Q03181']
