Drug,Cell
MG-132,NCI-H1666
Talazoparib,RPMI-8402
Gemcitabine,ML-1
ABT737,NCI-H1105
Epirubicin,A388
MG-132,CAL-72
AZD8055,SW1088
SN-38,CRO-AP2
AZD7762,OE33
Rapamycin,SCC-4
AZD7762,PC-3_[JPC-3]
PRT062607,SUP-B8
Dactinomycin_1911,ONS-76
Paclitaxel,TOV-112D
Dinaciclib,Hs-683
Rapamycin,CHSA8926
Topotecan,MOLP-8
Epirubicin,ONS-76
Camptothecin,SK-MEL-3
Dactinomycin_1911,NCI-H647
Epirubicin,RERF-LC-Sq1
AZD6738,HO-1-u-1
Gemcitabine,PANC-03-27
Trametinib,JHH-1
Gemcitabine,A2058
Vinorelbine,BPH-1
Dactinomycin_1911,PWR-1E
Camptothecin,23132-87
Sepantronium bromide,MIA-PaCa-2
MG-132,PCI-6A
Dactinomycin_1911,BB65-RCC
Dactolisib,23132-87
Epirubicin,OACp4C
Telomerase Inhibitor IX,COLO-320-HSR
Dihydrorotenone,HPAC
Uprosertib_1553,MOLT-16
Dactinomycin_1911,COR-L321
Telomerase Inhibitor IX,HOS
Daporinad,A549
Rapamycin,ST486
Paclitaxel,CS1
AZD7762,IST-MEL1
SN-38,LB996-RCC
SN-38,U-87-MG
Dinaciclib,HCC2218
Gemcitabine,KYSE-220
Axitinib,KU812
Rapamycin,HO-1-u-1
Trametinib,SK-MEL-5
Dactinomycin_1911,OV-90
Rapamycin,EKVX
Dactinomycin_1911,U-87-MG
MG-132,HCC1419
Sepantronium bromide,HTC-C3
Docetaxel_1819,SU-DHL-10
Camptothecin,DAN-G
Selumetinib_1062,KU812
Docetaxel_1007,LS-411N
Buparlisib,RCH-ACV
Afatinib,TE-4
Romidepsin,HCC1937
BMS-536924,Farage
Dinaciclib,KYSE-220
Sepantronium bromide,ES8
Telomerase Inhibitor IX,OCI-AML3
BI-2536,Hs-633T
Trametinib,OV-90
Lapatinib,TE-4
MG-132,HDLM-2
Docetaxel_1007,SK-MEL-30
Daporinad,SK-N-SH
Dactinomycin_1911,ME-180
Dactolisib,NCI-H1869
Rapamycin,RH-41
JQ1,DOHH-2
Dinaciclib,ML-1
SN-38,Ramos-2G6-4C10
Dactolisib,GP5d
Vinorelbine,CS1
SN-38,SW156
Tanespimycin,A388
BI-2536,A101D
MG-132,EKVX
Dinaciclib,RH-41
Topotecan,KMRC-20
Paclitaxel,KYSE-520
AZD8055,RPMI-8866
Dinaciclib,NCI-H1105
Sepantronium bromide,A2058
Trametinib,RL95-2
Schweinfurthin A,OACp4C
Dinaciclib,D-566MG
Camptothecin,Farage
Sepantronium bromide,SW156
Sepantronium bromide,SUP-T1
AZD8055,GDM-1
Buparlisib,NB69
Dactinomycin_1911,PANC-10-05
Paclitaxel,TGW
Dactinomycin_1911,JiyoyeP-2003
Daporinad,SNU-449
Telomerase Inhibitor IX,SK-N-FI
SN-38,KON
Wee1 Inhibitor,SUP-B8
Rapamycin,PE-CA-PJ15
Sepantronium bromide,SF126
Epirubicin,IGR-37
Sorafenib,COLO-320-HSR
Camptothecin,ES-2
Docetaxel_1007,NCI-H748
Irinotecan,NCI-H748
Afatinib,NCI-H322M
Docetaxel_1007,OCI-LY-19
Schweinfurthin A,SK-N-AS
MG-132,NCC021
Bleomycin,SK-MM-2
Paclitaxel,AMO-1
BMS-536924,KMS-11
Sepantronium bromide,GI-1
Pevonedistat,MHH-CALL-2
Rapamycin,NB5
Sepantronium bromide,BE2-M17
Camptothecin,NCI-H2029
MG-132,769-P
Romidepsin,BPH-1
Docetaxel_1007,ALL-PO
MG-132,Hs-683
Gemcitabine,PCI-30
Sepantronium bromide,D-423MG
Camptothecin,TE-8
Dinaciclib,NCI-H1869
Tanespimycin,GAMG
Dactolisib,OCI-AML3
Selumetinib_1736,SKM-1
Docetaxel_1007,NCI-H82
Pevonedistat,Mo-T
Rapamycin,L-428
MG-132,MHH-PREB-1
Epirubicin,IST-MEL1
Vinorelbine,MKN7
Camptothecin,SF126
AZD7762,NCI-H929
AZD7762,HCC-44
Rapamycin,HC-1
Gemcitabine,NKM-1
Dactolisib,SUP-B8
Docetaxel_1819,HCC-44
PD0325901,SKM-1
SN-38,PL4
Irinotecan,ES8
PD0325901,NCI-H929
Pevonedistat,FU97
Cytarabine,ST486
Docetaxel_1007,Jurkat
Vinorelbine,HCC2157
SN-38,BE2-M17
BI-2536,SAS
BI-2536,SK-MG-1
MG-132,SNU-175
Sepantronium bromide,OE21
AZD7762,SK-MEL-2
Topotecan,MDA-MB-231
Sepantronium bromide,TE-4
Romidepsin,NCI-H1781
Dinaciclib,OPM-2
Dactinomycin_1911,SU-DHL-5
Paclitaxel,Jurkat
MG-132,SK-MES-1
Dactolisib,MIA-PaCa-2
Rapamycin,FU97
SN-38,BV-173
Rapamycin,MKN1
Nilotinib,BV-173
Epirubicin,SNU-407
Pevonedistat,EW-16
AZD7762,KMRC-20
Irinotecan,A673
Docetaxel_1819,ES7
AZD3759,JHU-022
Epirubicin,NALM-6
BMS-536924,COLO-320-HSR
Rapamycin,RCC-JF
MG-132,U251
Dinaciclib,RCH-ACV
Sepantronium bromide,SU-DHL-1
Trametinib,SNU-175
Dinaciclib,CCK-81
Romidepsin,RPMI-8226
Paclitaxel,EW-18
Sepantronium bromide,MEL-HO
Tanespimycin,LS-411N
Dinaciclib,MHH-PREB-1
Rapamycin,LS-411N
Dactolisib,RPMI-8402
Cytarabine,MOLT-16
Sepantronium bromide,ONS-76
Docetaxel_1819,RKO
Dactinomycin_1911,HPAC
MG-132,MIA-PaCa-2
Topotecan,JURL-MK1
Epirubicin,PWR-1E
Docetaxel_1007,KYSE-510
Romidepsin,IHH-4
AZD7762,OCI-M1
Epirubicin,KY821
SN-38,RS4-11
MG-132,A253
Talazoparib,NCI-H211
MG-132,HA7-RCC
Topotecan,GI-1
Vinorelbine,KARPAS-45
MG-132,NCI-H2052
Irinotecan,NCI-H1105
ABT737,NCI-H748
Camptothecin,STS-0421
AZD2014,MOLP-8
Pevonedistat,MOLT-4
AZD8055,DB
Trametinib,G-361
Dactolisib,NB13
AZD3759,HDQ-P1
JQ1,SNU-407
Sepantronium bromide,DBTRG-05MG
Rapamycin,SKM-1
AZD8055,RPMI-8226
ABT737,DB
Pevonedistat,YH-13
Rapamycin,SK-N-FI
Docetaxel_1819,VAL
Vinorelbine,GOTO
Rapamycin,NB12
Romidepsin,GI-1
Docetaxel_1819,NCI-H1755
Tanespimycin,MDST8
Dactinomycin_1911,SNU-407
SN-38,D-283MED
Rapamycin,KMRC-20
Sepantronium bromide,STS-0421
MG-132,KP-4
BI-2536,IHH-4
Daporinad,NCI-H1869
Cytarabine,SIMA
AZD8055,EW-11
SN-38,NCI-H2052
AZD7762,JVM-3
Telomerase Inhibitor IX,AN3-CA
AZD2014,A549
ABT737,COR-L88
Gemcitabine,Farage
Docetaxel_1007,MS-1
Cytarabine,MDST8
Tanespimycin,CCK-81
PD0325901,GP5d
Telomerase Inhibitor IX,NB12
Talazoparib,BV-173
MG-132,A549
MG-132,RPMI-8866
Docetaxel_1007,EC-GI-10
ABT737,RPMI-8226
AZD7762,KU812
Cytarabine,GDM-1
Camptothecin,EW-1
Tanespimycin,TC-YIK
Dactinomycin_1911,U-2-OS
Docetaxel_1007,NB13
Rapamycin,ONS-76
Dactolisib,CAL-72
Pevonedistat,SUP-B8
Gemcitabine,TE-441-T
MG-132,GAMG
Romidepsin,RC-K8
Gemcitabine,SK-CO-1
Dactinomycin_1911,NOMO-1
Camptothecin,MKN1
Docetaxel_1819,NCI-H2023
MG-132,Hs-445
Dactolisib,SW1710
Dinaciclib,DND-41
SN-38,SKG-IIIa
Dinaciclib,RC-K8
BMS-536924,ES1
Vinorelbine,Hs-633T
Camptothecin,G-361
Tanespimycin,NB5
Vinorelbine,NB69
SN-38,TE-12
Epirubicin,ARH-77
Rapamycin,AN3-CA
Epirubicin,SW1088
AZD7762,GP5d
Daporinad,EN
Trametinib,SW982
Camptothecin,OPM-2
Dactinomycin_1911,NCI-H2009
MG-132,SW1271
BI-2536,SNU-175
Dactinomycin_1911,MDA-MB-415
Camptothecin,OACp4C
Dinaciclib,MIA-PaCa-2
Tanespimycin,NCI-H2196
Dinaciclib,PL-21
Tanespimycin,SW1990
Dactolisib,OAW-42
Docetaxel_1007,A388
BMS-536924,HAL-01
AZD7762,KALS-1
Sepantronium bromide,NALM-6
Cytarabine,EW-1
Docetaxel_1007,T-T
Epirubicin,NCI-H748
Sepantronium bromide,NCI-H2347
Romidepsin,CHP-134
AZD8055,IST-MEL1
Epirubicin,23132-87
Dactinomycin_1911,SK-CO-1
Camptothecin,FTC-133
Rapamycin,EW-1
Dactinomycin_1911,NCI-H2023
Romidepsin,A549
Daporinad,ST486
Paclitaxel,PA-TU-8902
Sepantronium bromide,NB1
Docetaxel_1007,SW1417
Pevonedistat,EC-GI-10
Docetaxel_1007,JHU-022
Camptothecin,COLO-668
Docetaxel_1819,U-698-M
Dactinomycin_1911,SU8686
Dactolisib,HGC-27
Bleomycin,RH-1
Epirubicin,NCI-H524
MK-8776,NU-DUL-1
Docetaxel_1007,SU-DHL-10
Schweinfurthin A,SK-LMS-1
Dinaciclib,RCC-JW
Pevonedistat,LC4-1
Dactinomycin_1911,NCI-H2030
Dactinomycin_1911,MHH-PREB-1
SN-38,NCI-H2228
Romidepsin,HuH-7
Docetaxel_1007,BFTC-905
Docetaxel_1007,Hs-633T
MG-132,SW1710
Camptothecin,SW982
Paclitaxel,SK-MM-2
PD0325901,OCI-M1
Vinorelbine,CRO-AP2
MG-132,NCI-H748
Schweinfurthin A,NALM-6
PD0325901,BV-173
JQ1,JURL-MK1
Docetaxel_1819,AMO-1
Epirubicin,NCI-H69
Rapamycin,IHH-4
MG-132,IA-LM
Dactinomycin_1911,DBTRG-05MG
Sepantronium bromide,NCI-H748
Romidepsin,SU-DHL-10
Docetaxel_1007,BB65-RCC
MG-132,HTC-C3
Vinorelbine,KNS-81-FD
Docetaxel_1007,L-428
Vinorelbine,DK-MG
Paclitaxel,KYSE-510
Dactinomycin_1911,TC-YIK
BI-2536,NOMO-1
JQ1,OVCA420
Pevonedistat,KP-4
Tanespimycin,D-283MED
Dactinomycin_1911,RKO
Dactolisib,KYSE-220
Tanespimycin,OVCA420
AZD3759,PCI-15A
Rapamycin,D-283MED
Rapamycin,PCI-15A
Romidepsin,OACp4C
AZD7762,U-698-M
Bleomycin (50 uM),MOLT-16
Vinorelbine,KMRC-20
Dactinomycin_1911,JHOS-4
AZD7762,MKN1
Docetaxel_1007,NOMO-1
Pevonedistat,NCI-H2110
Dactolisib,EW-11
Dinaciclib,RS4-11
Dinaciclib,SK-MM-2
Paclitaxel,TE-6
Epirubicin,UACC-62
ZM447439,GDM-1
Dinaciclib,A253
Dactolisib,NKM-1
Rapamycin,NCI-H524
Daporinad,COLO-668
Paclitaxel,CHP-212
Selumetinib_1062,SW620
Dactolisib,Detroit562
Daporinad,D-263MG
Topotecan,BE-13
Schweinfurthin A,MOLP-8
Uprosertib_1553,SCC90
Topotecan,Farage
Docetaxel_1007,SF295
Tanespimycin,JVM-3
AZD8055,FU97
Vinorelbine,DG-75
ZM447439,COLO-205
Trametinib,NCI-H2135
MG-132,AU565
Docetaxel_1007,SK-GT-4
AZD7762,PCI-15A
Dactinomycin_1911,TE-10
MG-132,LB647-SCLC
BEN,TC-YIK
Camptothecin,NCI-H2052
Dactolisib,NCI-H1944
Dactinomycin_1911,MOLP-8
SN-38,KYSE-220
Camptothecin,MHH-PREB-1
Vinorelbine,KYSE-520
Uprosertib_1553,UACC-893
BI-2536,CAL-72
MG-132,MKN1
Talazoparib,HAL-01
Sepantronium bromide,NOS-1
MG-132,JHH-1
Paclitaxel,SW1990
Pevonedistat,EVSA-T
Selumetinib_1062,KY821
Dactolisib,KALS-1
Dihydrorotenone,EW-1
Docetaxel_1007,CS1
SN-38,DAN-G
MG-132,MOLT-16
Dactinomycin_1911,BE2-M17
NVP-ADW742,ES1
Romidepsin,BE-13
Dactolisib,SW620
Docetaxel_1819,EW-11
Docetaxel_1007,DK-MG
Sepantronium bromide,OV-7
Afatinib,LB996-RCC
Rapamycin,HCC2157
Paclitaxel,OE33
JQ1,KMOE-2
JQ1,RH-41
Pevonedistat,Detroit562
Docetaxel_1007,D-263MG
Dihydrorotenone,HT-3
Dactinomycin_1911,UM-UC-3
Dinaciclib,JM1
Camptothecin,OE21
Dactinomycin_1911,RS4-11
BI-2536,Calu-6
MG-132,PC-3_[JPC-3]
Dactolisib,NOS-1
Romidepsin,Detroit562
Rapamycin,KMS-11
Docetaxel_1007,KNS-81-FD
MG-132,STS-0421
MG-132,HLE
Docetaxel_1819,COLO-684
Pevonedistat,SUP-T1
Dactolisib,SUIT-2
AZD7762,SK-MEL-30
Trametinib,NCI-H2030
SN-38,SK-MG-1
Axitinib,MOLT-4
Vinorelbine,CAL-72
Romidepsin,ZR-75-30
Docetaxel_1819,CS1
Camptothecin,TE-10
Epirubicin,KMS-11
AZD7762,SIMA
Schweinfurthin A,JIMT-1
AZD7762,NU-DUL-1
Vinorelbine,NCI-H82
Cytarabine,GP5d
Camptothecin,COR-L321
Daporinad,HSC-39
Tanespimycin,CS1
SN-38,KGN
Dinaciclib,L-428
Epirubicin,OPM-2
MG-132,JHOS-4
AZD5363,SU-DHL-10
Buparlisib,SUP-B8
BMS-536924,NB10
Tanespimycin,SW1088
Dactinomycin_1911,KALS-1
Camptothecin,NCI-H322M
Sepantronium bromide,A253
MG-132,WIL2-NS
Daporinad,KYSE-510
SN-38,NCI-H2196
Docetaxel_1007,IA-LM
Daporinad,CAL-72
AZD7762,EW-1
AZD7762,HGC-27
Dactolisib,MS-1
Tanespimycin,MIA-PaCa-2
BMS-536924,SK-CO-1
Buparlisib,ARH-77
Tanespimycin,PANC-03-27
Fludarabine,RS4-11
AZD5363,SUP-B8
Daporinad,U031
Buparlisib,NB10
Dactolisib,DG-75
BI-2536,SW962
Schweinfurthin A,RC-K8
Camptothecin,BL-41
SN-38,RKO
Romidepsin,MDA-MB-468
Rapamycin,OCI-AML3
AZD8055,PL4
Trametinib,NCI-H2228
Topotecan,IST-SL2
Epirubicin,VAL
Romidepsin,HCC1419
Docetaxel_1007,OVCA420
Dinaciclib,LC4-1
OTX015,KU812
Gemcitabine,LU-139
AZD8055,MHH-PREB-1
Vinorelbine,SK-MG-1
Dinaciclib,SiHa
Pevonedistat,GOTO
Dactolisib,TGBC11TKB
BI-2536,NCI-H716
Dactinomycin_1911,EC-GI-10
Docetaxel_1819,MFM-223
AZD7762,CRO-AP2
AZD7762,IGR-37
AZD8055,RT4
Tanespimycin,JHU-022
BI-2536,HGC-27
Dactolisib,RC-K8
Cytarabine,KY821
Telomerase Inhibitor IX,BV-173
Selumetinib_1736,IGR-37
ZM447439,SU-DHL-5
Telomerase Inhibitor IX,KON
SN-38,CAL-72
Rapamycin,ARH-77
Epirubicin,KALS-1
Docetaxel_1819,DU-145
MG-132,PANC-08-13
Romidepsin,CHP-212
Camptothecin,KMRC-20
Rapamycin,MDST8
Telomerase Inhibitor IX,BL-41
Docetaxel_1007,A2058
Talazoparib,ARH-77
Schweinfurthin A,JVM-3
Schweinfurthin A,EMC-BAC-2
Rapamycin,SU-DHL-10
Sepantronium bromide,SK-MEL-30
Docetaxel_1819,WIL2-NS
Epirubicin,MKN1
Dinaciclib,IST-SL2
Rapamycin,TE-441-T
Dactinomycin_1911,GDM-1
Afatinib,CCK-81
Tanespimycin,HLE
Gemcitabine,MDST8
Gemcitabine,KP-4
MG-132,PANC-03-27
AZD7762,MHH-CALL-2
Docetaxel_1819,HCT-116
Daporinad,MSTO-211H
Dinaciclib,COR-L321
Entinostat,MDA-MB-361
Vinorelbine,NOMO-1
Docetaxel_1007,OE33
MG-132,OCI-AML3
Vinorelbine,PANC-03-27
Epirubicin,KYAE-1
AZD8055,Hs-633T
SN-38,NCI-H647
Romidepsin,ME-1
Afatinib,EC-GI-10
SN-38,HCC2998
Docetaxel_1007,LC-1-sq
Docetaxel_1819,SK-N-AS
Docetaxel_1007,TE-10
Telomerase Inhibitor IX,ES1
BI-2536,CL-11
Dactolisib,KYSE-450
Tanespimycin,RPMI-8866
AZD5991,COLO-320-HSR
Irinotecan,NB69
Vinorelbine,SAS
Dactinomycin_1911,PEO1
Paclitaxel,AM-38
Vinorelbine,IHH-4
Dactolisib,JiyoyeP-2003
Trametinib,NB69
Schweinfurthin A,DB
Pevonedistat,COR-L279
Camptothecin,IHH-4
Dactinomycin_1911,EN
Epirubicin,HDQ-P1
MG-132,LB996-RCC
Dactolisib,SKG-IIIa
Docetaxel_1007,SW982
Vinorelbine,KMOE-2
WEHI-539,TC-YIK
Vinorelbine,SW1088
Camptothecin,PEO1
Dactinomycin_1911,SK-MEL-1
Docetaxel_1007,PEO1
Sepantronium bromide,GB-1
Dinaciclib,NALM-6
Afatinib,UACC-893
Dactinomycin_1911,T-T
Dinaciclib,OCI-AML5
Docetaxel_1007,EN
Camptothecin,NCI-H1666
Romidepsin,SCC90
Tanespimycin,HDLM-2
Daporinad,SK-GT-4
Sepantronium bromide,HC-1
MG-132,JHU-022
Pevonedistat,NU-DUL-1
Sepantronium bromide,TGW
Mycophenolic acid,JVM-3
Sepantronium bromide,NCI-H647
Paclitaxel,PE-CA-PJ15
MG-132,GOTO
Dactinomycin_1911,NCI-H727
Docetaxel_1819,Jurkat
Docetaxel_1007,NCI-H929
Wee1 Inhibitor,VAL
Vinorelbine,MEL-HO
MG-132,KP-3
Daporinad,Hs-633T
Camptothecin,SW1088
Dactolisib,NCI-H720
BI-2536,KYSE-220
MK-8776,ES1
OTX015,MOLM-16
MG-132,KALS-1
Dinaciclib,HCC-44
PD0325901,SNU-407
JQ1,SKM-1
Vinorelbine,BHT-101
Schweinfurthin A,DND-41
AZD7762,NCI-H2023
SN-38,MFH-ino
Dactinomycin_1911,NU-DUL-1
Pevonedistat,KON
Romidepsin,NCI-H322M
Topotecan,SW982
Dactinomycin_1911,NB69
Dinaciclib,LB2518-MEL
Vinorelbine,BFTC-905
Daporinad,NKM-1
Dactinomycin_1911,NCI-N87
Dinaciclib,IMR-5
Dihydrorotenone,BE2-M17
Dactinomycin_1911,NCI-H1915
Docetaxel_1007,COR-L88
AZD6738,ES1
Irinotecan,COR-L279
Paclitaxel,EW-22
Camptothecin,CS1
Trametinib,IHH-4
MG-132,PSN1
Epirubicin,A2058
Docetaxel_1007,CAL-85-1
Telomerase Inhibitor IX,U-266
Dactinomycin_1911,RCC10RGB
BI-2536,NCI-H929
MG-132,LB2518-MEL
Paclitaxel,PL-21
Sepantronium bromide,CHP-212
Paclitaxel,A2058
Docetaxel_1819,NCI-H1944
Fludarabine,U-118-MG
BEN,TOV-112D
Sepantronium bromide,VCaP
PD0325901,BPH-1
Rapamycin,NALM-6
Epirubicin,MS-1
Pevonedistat,SK-MG-1
Paclitaxel,SU-DHL-1
SN-38,SNB75
Trametinib,SNU-407
Gemcitabine,MHH-PREB-1
Dinaciclib,ST486
Dinaciclib,COLO-824
Docetaxel_1819,COLO-205
ABT737,NCI-H211
Gemcitabine,NU-DUL-1
MG-132,NCI-N87
Dactinomycin_1911,23132-87
Docetaxel_1819,JVM-3
Dactolisib,P31-FUJ
Rapamycin,Jurkat
Docetaxel_1007,SAT
Dactolisib,SU-DHL-5
Docetaxel_1007,HT-144
Paclitaxel,HDQ-P1
MK-8776,SU-DHL-5
AZD5363,NCI-H929
Romidepsin,LU-139
Sepantronium bromide,NCI-H2141
Romidepsin,NCI-H1993
Dactolisib,ES7
Docetaxel_1007,SCC-15
Paclitaxel,TE-12
Tanespimycin,SK-MEL-28
Vinorelbine,SCC-15
Docetaxel_1007,RPMI-8866
AZD8055,CS1
Rapamycin,KMRC-1
Romidepsin,BHT-101
Epirubicin,LC4-1
Sepantronium bromide,LB996-RCC
Rapamycin,MHH-PREB-1
Dactinomycin_1911,CL-11
Docetaxel_1819,Farage
Dactolisib,HuH-7
Camptothecin,PL4
Docetaxel_1007,NCI-H2141
Dactolisib,TE-4
Vinorelbine,NCI-H929
Sepantronium bromide,CS1
Vinorelbine,SK-CO-1
Vinorelbine,RC-K8
Dinaciclib,COLO-783
Docetaxel_1819,HTC-C3
Dactinomycin_1911,NB10
MG-132,SK-LU-1
Daporinad,LU-139
AZD5991,HCC2157
Docetaxel_1819,MHH-CALL-2
Trametinib,NCI-H1993
AZD7762,MHH-PREB-1
Afatinib,JHU-022
Dihydrorotenone,OV-90
Camptothecin,SNU-175
Schweinfurthin A,BE2-M17
Sepantronium bromide,HCT-116
BI-2536,NCI-H524
Schweinfurthin A,EW-1
Camptothecin,RC-K8
Daporinad,BFTC-905
SCH772984,IGR-37
Trametinib,PCI-15A
Rapamycin,OPM-2
MG-132,SUP-B8
Paclitaxel,SW620
MG-132,MOLT-4
Docetaxel_1007,TE-6
Sepantronium bromide,KARPAS-45
SN-38,CGTH-W-1
SN-38,MFE-280
Paclitaxel,DMS-114
Epirubicin,HLE
Bromosporine,A3-KAW
AZD8055,JURL-MK1
Talazoparib,ES1
I-BET-762,IST-SL2
Docetaxel_1007,WIL2-NS
Vinorelbine,TC-71
Docetaxel_1007,NCI-H1869
Dactolisib,LU-65
Telomerase Inhibitor IX,Hs-445
AZD5991,EW-18
Trametinib,OCI-LY-19
MG-132,BHT-101
SCH772984,SK-MEL-28
SN-38,PCI-6A
Uprosertib_2106,EVSA-T
MG-132,GB-1
Telomerase Inhibitor IX,A2058
MG-132,KP-N-YN
Rapamycin,KNS-81-FD
Docetaxel_1819,YH-13
Rapamycin,RCH-ACV
Dinaciclib,JIMT-1
SCH772984,COLO-783
MG-132,HCC-44
Camptothecin,A375
Paclitaxel,CRO-AP2
AZD5363,NCI-H720
Epirubicin,CAL-33
Gemcitabine,U-118-MG
MG-132,BL-41
JQ1,MOLP-8
Dinaciclib,ALL-PO
Mycophenolic acid,SK-LMS-1
AZD8055,KU812
Rapamycin,U-698-M
Tanespimycin,COR-L32
Epirubicin,UACC-257
Dinaciclib,UMC-11
Sepantronium bromide,HO-1-u-1
Dihydrorotenone,ZR-75-30
Epirubicin,COR-L321
Uprosertib_2106,HGC-27
Gemcitabine,HAL-01
Epirubicin,D-283MED
Epirubicin,SW620
Sepantronium bromide,23132-87
Gemcitabine,Jurkat
MG-132,YH-13
SN-38,NCI-H1105
Gemcitabine,NCI-H1944
Dinaciclib,CHP-212
Romidepsin,JVM-3
Tanespimycin,U-118-MG
Tanespimycin,OPM-2
Romidepsin,COLO-684
Camptothecin,ST486
Epirubicin,SBC-5
Tanespimycin,NCI-H211
Gemcitabine,TC-71
Gemcitabine,A388
Docetaxel_1819,RH-41
Dinaciclib,KP-3
Dactinomycin_1911,PL-21
Dactinomycin_1911,HDQ-P1
Dactolisib,BHT-101
JQ1,KU812
Topotecan,Ramos-2G6-4C10
Tanespimycin,RH-41
Dactinomycin_1911,ES4
Epirubicin,SK-N-SH
BI-2536,COR-L32
SCH772984,KU812
Gemcitabine,NB5
Epirubicin,COLO-684
Docetaxel_1007,YH-13
Vinorelbine,Hs-445
Schweinfurthin A,UMC-11
PD0325901,NCI-H1915
Schweinfurthin A,U-698-M
Epirubicin,D-263MG
WEHI-539,NKM-1
BI-2536,OE21
Cytarabine,TUR
AZD8055,Detroit562
AZD5991,ME-1
BI-2536,VCaP
Gemcitabine,D-566MG
Daporinad,UM-UC-3
SN-38,SKM-1
Pevonedistat,P31-FUJ
Dinaciclib,A3-KAW
Gemcitabine,MFH-ino
Telomerase Inhibitor IX,PCI-15A
Paclitaxel,COLO-684
Rapamycin,LN-405
Epirubicin,KMOE-2
ZM447439,IMR-5
Romidepsin,LC4-1
Rapamycin,Mo-T
Sepantronium bromide,NCI-H2444
Tanespimycin,RCC-FG2
Paclitaxel,JHU-022
Tanespimycin,PWR-1E
Dihydrorotenone,HAL-01
MG-132,A172
Camptothecin,UACC-62
Dactolisib,HO-1-u-1
Camptothecin,KELLY
MG-132,SW982
Pevonedistat,A549
AZD5363,MDA-MB-415
Rapamycin,MKN7
Romidepsin,DMS-79
Gemcitabine,OE33
Dactolisib,ES-2
Trametinib,NCI-H1755
Paclitaxel,NCI-H1869
Dactolisib,ME-1
Docetaxel_1007,ES4
Epirubicin,KELLY
Epirubicin,RKO
Gemcitabine,RPMI-8866
Docetaxel_1007,NB10
Dinaciclib,CS1
Docetaxel_1819,HC-1
Dinaciclib,SNB75
Pevonedistat,ES1
OTX015,KARPAS-45
SN-38,SW982
Vinorelbine,GAMG
Telomerase Inhibitor IX,SU-DHL-5
Dactinomycin_1911,MG-63
Selumetinib_1736,UACC-62
AZD7762,Jurkat
MG-132,NB13
Dactinomycin_1911,LB996-RCC
Tanespimycin,SAS
ABT737,OCI-LY-19
Schweinfurthin A,ST486
Paclitaxel,GAMG
AZD7762,NCI-H322M
Paclitaxel,L-428
Talazoparib,VAL
BI-2536,BPH-1
Telomerase Inhibitor IX,SCC90
Docetaxel_1007,U-698-M
Gemcitabine,PEO1
Trametinib,A549
Sepantronium bromide,PANC-03-27
Dinaciclib,KP-4
Camptothecin,MFH-ino
Daporinad,OE33
Docetaxel_1819,RPMI-8866
Rapamycin,RCC-MF
Dactolisib,SK-GT-4
Docetaxel_1007,EVSA-T
Paclitaxel,NCI-H1915
Afatinib,ZR-75-30
Paclitaxel,HCC2157
BI-2536,SK-MEL-28
Romidepsin,PANC-10-05
BI-2536,FU97
Docetaxel_1007,JIMT-1
Daporinad,BE-13
Talazoparib,EW-1
Topotecan,ES7
Sepantronium bromide,IST-SL2
Mycophenolic acid,KGN
Vinorelbine,A253
Paclitaxel,OV-90
Paclitaxel,Farage
Epirubicin,DG-75
Dactolisib,SIMA
Schweinfurthin A,RCC-JW
Cytarabine,SU-DHL-10
Trametinib,IGR-37
Dactolisib,BV-173
AZD8055,EVSA-T
AZD7762,TE-4
Epirubicin,HGC-27
Sepantronium bromide,KP-N-YN
Rapamycin,MOLP-8
AZD7762,CS1
Docetaxel_1819,KMRC-20
OTX015,BL-41
ZM447439,RPMI-8402
MG-132,SK-N-SH
Gemcitabine,KYSE-510
Mycophenolic acid,EW-22
5-azacytidine,SU-DHL-5
Docetaxel_1819,A375
Paclitaxel,U-698-M
BI-2536,JHOS-4
Sepantronium bromide,HCC1419
Sepantronium bromide,MSTO-211H
PD0325901,CCK-81
Dactolisib,NB10
Dactolisib,MN-60
Dactolisib,KMRC-1
PLX-4720,A375
Cytarabine,KYSE-220
Romidepsin,NCI-H2141
Paclitaxel,SAS
Dinaciclib,OE33
Telomerase Inhibitor IX,ES7
MG-132,PCI-15A
Pevonedistat,HuH-7
AZD5991,ES7
AZD2014,NCI-H929
Sorafenib,NKM-1
Paclitaxel,PANC-10-05
JQ1,KY821
Daporinad,SF295
Sepantronium bromide,U251
Sepantronium bromide,PCI-6A
Dinaciclib,CL-11
AT13148,P31-FUJ
Dinaciclib,Ramos-2G6-4C10
Rapamycin,NCI-H1915
Gemcitabine,MG-63
Docetaxel_1007,GP5d
Docetaxel_1819,CAL-33
Daporinad,WIL2-NS
MG-132,JM1
Trametinib,LB373-MEL-D
MG-132,EN
Vinorelbine,SW1271
AZD8055,TE-6
ABT737,KY821
Epirubicin,KYSE-510
BI-2536,D-566MG
Sepantronium bromide,NCI-H1666
ABT737,SK-CO-1
Tanespimycin,OV-7
Daporinad,EW-11
BI-2536,NKM-1
Cytarabine,LC4-1
Tanespimycin,KMS-11
Topotecan,VA-ES-BJ
PD0325901,PANC-03-27
Dactinomycin_1911,LC-1-sq
Romidepsin,KU812
Vinorelbine,Farage
Irinotecan,BV-173
Tanespimycin,NCI-H1993
Trametinib,OACp4C
MG-132,YAPC
Epirubicin,LC-1-sq
Camptothecin,Mewo
