Drug,Cell
CIL55A,HuH28
BRD-K34222889,Panc 03.27
vorinostat,NCI-H322
sunitinib,SK-MEL-24
BI-2536,NCI-H1693
bleomycin A2,SU-DHL-4
YM-155,KYSE-30
simvastatin,OVK18
BMS-754807,RH-30
PF-184,OV56
CD-1530,HT-144
valdecoxib,LU65
KU-60019,BEN
importazole,DMS 454
spautin-1,JIMT-1
paclitaxel,HCC-1438
simvastatin,YD-38
pyrazolanthrone,NCI-H716
BMS-754807,SNU-685
daporinad,NCI-H2081
CD-437,NCI-H2342
valdecoxib,NCI-H1755
mitomycin,Becker
ZSTK474,HuH-6
SMER-3,TE-1
methylstat,A549
cabozantinib,G-361
gemcitabine,TE-8
paclitaxel,MDST8
parbendazole,TUHR4TKB
KHS101,ZR-75-1
parbendazole,KP-2
BRD-K26531177,JL-1
paclitaxel,TE-1
AT13387,NCI-H2141
BMS-754807,FTC-238
AT13387,COR-L51
SMER-3,NCI-H1694
docetaxel,Hs 683
niclosamide,SKM-1
FQI-2,NCI-H1694
triazolothiadiazine,42-MG-BA
SMER-3,SU-DHL-6
saracatinib,CAL-120
ZSTK474,AsPC-1
LRRK2-IN-1,LUDLU-1
BRD-A94377914,CAL-62
daporinad,SK-MEL-2
TW-37,KYSE-70
nutlin-3,MHH-CALL-3
YM-155,SNU-1041
rigosertib,DK-MG
TPCA-1,TE-6
OSI-027,HPAF-II
FQI-2,ESS-1
curcumin,KYM-1
nakiterpiosin,PSN1
vorinostat,SK-BR-3
triptolide,8305C
saracatinib,MOLM-6
docetaxel,IA-LM
lapatinib,RCC10RGB
methylstat,ME-1
tanespimycin,WM-793
pluripotin,JHUEM-2
KHS101,VMRC-RCZ
STF-31,DV-90
STF-31,NCI-H1581
fluvastatin,NCI-H2452
gemcitabine,KMBC-2
tigecycline,EPLC-272H
lomeguatrib,A-498
CD-437,SF126
cediranib,IGR-39
curcumin,LUDLU-1
OSI-027,NCI-H2196
obatoclax,JVM-2
KHS101,NCI-H1435
KU-0063794,NCI-H2342
topotecan,HUP-T3
etoposide,OVK18
RAF265,NCI-H2228
BRD-K34222889,TUHR4TKB
TGX-221,LXF-289
BRD-A94377914,HEL
NVP-231,TE-6
tanespimycin,HuH-6
alisertib,MHH-CALL-3
cytarabine hydrochloride,SW48
ETP-46464,SK-OV-3
YM-155,Calu-3
pluripotin,OCI-AML5
PI-103,NCI-H1299
importazole,COR-L51
linsitinib,SW48
spautin-1,SCaBER
canertinib,JeKo-1
NSC632839,TE-6
lapatinib,SNU-478
topotecan,A101D
curcumin,SK-CO-1
cabozantinib,PEER
CD-437,FTC-238
WP1130,SCC-4
CD-437,RL
importazole,SNU-449
saracatinib,DBTRG-05MG
NVP-231,HGC-27
marinopyrrole A,BICR 16
B02,JIMT-1
NSC23766,PF-382
BRD-K26531177,TUHR4TKB
B02,NCI-H2122
NVP-TAE684,LN-18
MLN2238,EOL-1
GANT-61,TE-6
PF-3758309,JHH-5
DBeQ,FTC-133
Ch-55,MDA-MB-361
OSI-930,ONCO-DG-1
cyanoquinoline 11,YD-38
chlorambucil,SW48
AT13387,SNU-869
indisulam,MDA-MB-468
BRD-A94377914,IPC-298
cerulenin,G-361
AT13387,TOV-112D
cediranib,NCI-H1563
BI-2536,SK-N-AS
PF-3758309,MDA-MB-157
decitabine,SNU-478
SCH-79797,SUP-B15
NSC23766,NCI-H358
NVP-231,GSS
triptolide,HPAF-II
BRD-K26531177,COLO-320
parbendazole,SNU-601
Ch-55,BT-20
cabozantinib,LS1034
mitomycin,RPMI-8402
marinopyrrole A,MDST8
AM-580,WM-793
simvastatin,8505C
STF-31,MC116
parbendazole,BC-3C
vandetanib,UACC-812
fumonisin B1,DMS 53
alisertib,OCI-M1
PI-103,SNU-46
nakiterpiosin,Calu-3
methylstat,HMCB
KU-0063794,EHEB
BI-2536,NUGC-4
paclitaxel,RH-30
CIL55A,SUP-T1
BMS-754807,SW1417
pluripotin,SK-N-DZ
TW-37,SK-CO-1
OSI-027,KCL-22
barasertib,HuT 78
triazolothiadiazine,SK-N-DZ
BRD-K34222889,U-BLC1
OSI-027,MFE-296
cerulenin,NCI-H1155
methylstat,TOV-112D
dasatinib,SNU-C5
spautin-1,PK-1
isoevodiamine,JK-1
parbendazole,23132/87
YM-155,B-CPAP
vorinostat,SNU-685
tanespimycin,GMS-10
B02,COLO 829
WP1130,NCI-H2122
BRD-A94377914,CHP-126
BI-2536,BICR 22
lapatinib,HUP-T4
CD-437,697
gossypol,NCI-H1755
cytarabine hydrochloride,A-375
skepinone-L,HCC2218
axitinib,MHH-CALL-3
AM-580,TE-6
NSC632839,SW48
Ch-55,MDA-MB-415
entinostat,NCI-H322
OSI-027,BT-20
NVP-231,NCI-H322
BI-2536,NCI-H2342
BRD-K33199242,JHUEM-2
BRD-K26531177,Hs 611.T
sunitinib,SNU-478
OSI-930,TE-1
tanespimycin,SNU-C5
GANT-61,GAMG
cabozantinib,COR-L88
axitinib,SUP-T11
MLN2238,SK-N-DZ
PHA-793887,PANC-1
N9-isopropylolomoucine,LK-2
cabozantinib,HH
BRD-K34222889,TE-6
vorinostat,SNU-478
AZD6482,SK-MEL-3
pluripotin,SK-N-BE(2)
MLN2238,MOR/CPR
DNMDP,SNU-5
cabozantinib,LU65
fingolimod,SNU-182
BI-2536,RVH-421
bleomycin A2,PE/CA-PJ49
bleomycin A2,HCC1954
nakiterpiosin,Calu-6
CAL-101,TT
alisertib,DMS 53
gemcitabine,UACC-257
docetaxel,TE-5
BI-2536,Calu-6
NSC632839,Calu-3
tanespimycin,LU99
rigosertib,IPC-298
Ch-55,NCI-H2141
AZD6482,SNU-C5
tanespimycin,TT
narciclasine,EOL-1
lapatinib,OS-RC-2
obatoclax,NCI-H2405
importazole,Hs 822.T
OSI-027,RCM-1
docetaxel,OCI-M1
PIK-93,Hs 895.T
YM-155,NCI-H441
YM-155,BICR 31
NVP-TAE684,MM1-S
nakiterpiosin,SW48
alisertib,SNU-719
tigecycline,HPB-ALL
austocystin D,HCC-1833
PD 153035,SW1116
CD-437,OCI-AML5
nakiterpiosin,JHUEM-2
pluripotin,LS1034
dasatinib,IPC-298
BMS-754807,SW 1783
vorinostat,RCC10RGB
fluvastatin,RL95-2
hyperforin,PA-TU-8902
YM-155,SNU-840
phloretin,TC-71
NSC632839,BC-3C
YM-155,IA-LM
WP1130,EFO-27
docetaxel,COR-L105
mitomycin,MHH-NB-11
ML050,COR-L105
SRT-1720,DAN-G
curcumin,RS4;11
spautin-1,G-361
MK-2206,SK-N-FI
silmitasertib,NCI-H446
parbendazole,CAL-62
RG-108,RPMI-8402
GW-405833,NCI-H2342
PRIMA-1,MM1-S
cabozantinib,PE/CA-PJ49
RAF265,VMRC-RCZ
axitinib,TM-31
topotecan,SNU-869
austocystin D,HPAF-II
silmitasertib,MOTN-1
triptolide,B-CPAP
PF-184,MV-4-11
lomeguatrib,A549
TW-37,NCI-H1792
fluvastatin,PF-382
Compound 23 citrate,SNU-1079
AZD6482,LS123
BRD-K66532283,FU97
NVP-TAE684,VMRC-RCZ
tigecycline,NCI-H2228
AZD6482,GAMG
B02,SK-HEP-1
obatoclax,SNU-886
axitinib,SW 1783
TPCA-1,KMS-27
rigosertib,Ishikawa (Heraklio) 02 ER-
curcumin,SK-N-DZ
niclosamide,PA-TU-8902
marinopyrrole A,NCI-H1563
SCH-79797,JK-1
HBX-41108,DMS 273
fluvastatin,SK-LMS-1
curcumin,SK-N-FI
BRD-K26531177,CML-T1
COL-3,NCI-H446
BRD-K26531177,FTC-133
MLN2238,HCC4006
YM-155,NCI-H1694
valdecoxib,OVK18
sorafenib,A549
parbendazole,NCI-H2122
curcumin,SNU-423
TPCA-1,SUP-B15
TW-37,HuT 78
BMS-754807,SNU-61
staurosporine,SNU-1079
daporinad,MDA-MB-468
entinostat,RL95-2
vandetanib,NCI-H2126
NSC23766,KASUMI-1
BRD-K34222889,SNU-466
mitomycin,UACC-62
tanespimycin,TOV-112D
mitomycin,NCI-H1373
TW-37,Calu-6
PI-103,SK-LMS-1
TW-37,TE-8
SCH-79797,HT-1376
CD-1530,HGC-27
topotecan,DBTRG-05MG
BRD-K26531177,SHP-77
parbendazole,SW620
niclosamide,IGR-39
sunitinib,NUGC-4
bleomycin A2,KYSE-180
bleomycin A2,NCI-H1694
cediranib,SNU-869
daporinad,LCLC-103H
niclosamide,MG-63
STF-31,OV56
barasertib,LS 180
PHA-793887,WM1799
MLN2238,SK-BR-3
AT13387,Hs 578T
obatoclax,OCI-AML2
KU-0063794,NCI-H1734
BRD-K51490254,SK-BR-3
Ko-143,SU-DHL-1
KU-0063794,KMS-27
RITA,BICR 16
TGX-221,GAMG
RITA,MOR/CPR
narciclasine,NCI-H441
OSI-027,Hs 895.T
Ch-55,MEL-HO
daporinad,SHP-77
XL765,SNU-886
bexarotene,SNU-410
BRD-K26531177,HCC1419
cabozantinib,LS411N
KW-2449,GP2d
gemcitabine,SNU-449
CD-437,HEL
PF-3758309,NCI-H2342
nakiterpiosin,HCC-1833
KU-0063794,A549
HBX-41108,RCM-1
SCH-79797,SW620
fingolimod,HT-144
topotecan,YD-8
elocalcitol,SNU-1079
obatoclax,COR-L88
YM-155,CAL-62
alisertib,ACHN
sunitinib,COLO-320
bleomycin A2,JL-1
NSC632839,BT-20
alisertib,KMBC-2
NSC632839,SNU-1041
marinopyrrole A,SUP-T1
cyanoquinoline 11,KLE
niclosamide,SNU-46
marinopyrrole A,SK-LMS-1
axitinib,EOL-1
MLN2238,OUMS-23
pluripotin,SJSA-1
FQI-2,NCI-H1299
barasertib,GDM-1
NVP-TAE684,OVTOKO
COL-3,HCC-56
HBX-41108,NH-6
RAF265,KP-2
niclosamide,RPMI-8402
parbendazole,"G-292, clone A141B1"
TW-37,ESS-1
RAF265,SU-DHL-1
MLN2238,NCI-H1339
parbendazole,SNU-869
nakiterpiosin,SK-CO-1
BRD-K34222889,MONO-MAC-1
ABT-737,GSS
KU-0063794,CAL-120
importazole,ME-1
TPCA-1,MOLM-6
RG-108,P3HR-1
ZSTK474,NCI-H1339
sorafenib,GDM-1
HBX-41108,WM-793
SCH-79797,MV-4-11
niclosamide,HGC-27
CD-437,DMS 53
mitomycin,SU-DHL-6
canertinib,ZR-75-1
obatoclax,Hs 895.T
nakiterpiosin,IMR-32
SRT-1720,Hs 822.T
MLN2238,KNS-81
austocystin D,BICR 31
MLN2238,OPM-2
RITA,Hs 822.T
PIK-93,MV-4-11
sunitinib,EN
TPCA-1,HEC-151
tanespimycin,SK-BR-3
cytarabine hydrochloride,KASUMI-1
TPCA-1,SW48
MLN2238,LUDLU-1
ZSTK474,COR-L88
triptolide,SNU-423
KHS101,HEC-251
canertinib,FaDu
YM-155,SK-N-AS
cediranib,Becker
parbendazole,Calu-6
DNMDP,RVH-421
NVP-TAE684,SCC-4
decitabine,NCI-H2009
neratinib,BICR 31
gemcitabine,DK-MG
axitinib,DMS 273
BRD-K80183349,VCaP
PI-103,LK-2
importazole,BT-20
sunitinib,NCI-H1395
TPCA-1,NCI-H2126
Ko-143,DV-90
sunitinib,DEL
dasatinib,LU65
CD-1530,HT-1376
niclosamide,VM-CUB1
triazolothiadiazine,SNU-449
cyanoquinoline 11,SNU-886
hyperforin,LU99
BI-2536,JHH-5
obatoclax,U-87 MG
mitomycin,42-MG-BA
manumycin A,HCC1954
PF-3758309,SK-MEL-3
vorinostat,NCI-H1385
nakiterpiosin,NCI-H2228
alisertib,FTC-133
STF-31,HPB-ALL
KW-2449,SK-CO-1
tigecycline,A549
fluvastatin,TE-8
entinostat,VM-CUB1
bleomycin A2,OVTOKO
PI-103,LS411N
tivozanib,Hs 611.T
CD-1530,KP-2
curcumin,VCaP
STF-31,COLO-320
brivanib,KP-N-YN
gemcitabine,OCI-M1
obatoclax,A549
PIK-93,SNU-C5
CAL-101,MONO-MAC-1
FQI-2,LS123
TPCA-1,TT
BRD-K85133207,WM1799
barasertib,NCI-H1666
PRIMA-1,ME-1
pifithrin-alpha,HCC-95
vandetanib,CAL-62
curcumin,A549
sorafenib,KMS-27
parbendazole,HL-60
obatoclax,COR-L51
SMER-3,OCI-AML5
cytarabine hydrochloride,NCI-H2452
NSC632839,SK-N-FI
cerulenin,DND-41
LE-135,Calu-1
WP1130,RI-1
imatinib,NCI-H1703
topotecan,SK-LMS-1
saracatinib,DAN-G
BRD-K26531177,Hs 729
BRD-K34222889,HEC-1-B
tamatinib,U-2 OS
NSC632839,TC-71
fluvastatin,SNU-886
fluvastatin,NCI-H1299
BRD-K34222889,LN-18
BRD-K01737880,Panc 10.05
mitomycin,NCI-H1581
marinopyrrole A,FU97
vorinostat,RMG-I
daporinad,CML-T1
topotecan,GSS
tanespimycin,COLO 684
BRD-K26531177,OVTOKO
PIK-93,LS 180
silmitasertib,AU565
BMS-754807,KYSE-70
DBeQ,RH-18
rigosertib,A-204
AZD6482,ACHN
barasertib,KALS-1
bleomycin A2,HCC-1438
triptolide,HCC-95
necrosulfonamide,SNU-685
Ch-55,NCI-H226
sunitinib,TE-5
PHA-793887,SNU-601
canertinib,TT
PIK-93,P3HR-1
BRD-K26531177,SNU-719
parbendazole,HuT 78
SCH-79797,CADO-ES1
simvastatin,LS 180
MLN2238,EFO-27
RAF265,DMS 79
CD-437,RCC10RGB
entinostat,SK-N-AS
alisertib,MHH-NB-11
Compound 23 citrate,LS 180
dasatinib,B-CPAP
rigosertib,CL-34
neratinib,RPMI-8402
canertinib,JL-1
vorinostat,RERF-LC-MS
fingolimod,FaDu
RITA,SNU-46
BI-2536,HCC202
sunitinib,HEC-251
MG-132,Hs 683
paclitaxel,MDA-MB-157
axitinib,HMCB
PIK-93,KASUMI-1
WP1130,KP-N-YN
MLN2238,RERF-LC-MS
curcumin,P12-ICHIKAWA
NVP-231,NCI-H1651
BRD-K80183349,OS-RC-2
OSI-027,SK-N-FI
CIL55A,HUP-T4
BRD-K34222889,42-MG-BA
PIK-93,TE-11
canertinib,RVH-421
MK-2206,NCI-H2342
BRD-K26531177,SNU-387
fingolimod,SW 1990
gemcitabine,SU-DHL-4
narciclasine,JIMT-1
silmitasertib,Hs 822.T
simvastatin,SNU-489
epigallocatechin-3-monogallate,HCC1954
parbendazole,LN-18
NVP-TAE684,DK-MG
docetaxel,HCC-1438
tanespimycin,RL95-2
tanespimycin,HuCCT1
sunitinib,RMG-I
bleomycin A2,GP2d
HBX-41108,DMS 454
decitabine,IMR-32
NVP-231,BxPC-3
KHS101,U-87 MG
UNC0638,8305C
ETP-46464,MDST8
PIK-93,PK-1
cytarabine hydrochloride,Hs 822.T
alisertib,JVM-2
gossypol,DMS 273
entinostat,NCI-H1693
BRD-K26531177,RCC10RGB
SCH-79797,RT4
gemcitabine,U-87 MG
tanespimycin,KP-N-YN
pluripotin,BC-3C
isoevodiamine,IGR-39
STF-31,BICR 31
saracatinib,GP2d
BRD-K80183349,RCM-1
vorinostat,HOS
PHA-793887,CML-T1
thalidomide,KG-1-C
phloretin,SNU-886
etoposide,OCI-LY3
DBeQ,U266B1
neratinib,MOLM-6
PF-3758309,SK-MEL-2
TGX-221,NCI-H1792
entinostat,RCC10RGB
FQI-2,HOS
STF-31,SK-N-FI
SMER-3,BxPC-3
FQI-2,Becker
gossypol,KE-39
silmitasertib,MG-63
NVP-TAE684,MOLM-6
SCH-79797,HCC827
axitinib,U-BLC1
B02,HCT 116
pluripotin,EN
sunitinib,MHH-NB-11
LE-135,OCI-LY3
B02,JeKo-1
gossypol,HEC-151
vorinostat,U266B1
NVP-TAE684,NCI-H1435
OSI-027,NCI-H226
methylstat,NCI-H1395
triazolothiadiazine,LC-1/sq-SF
DBeQ,ACC-MESO-1
PD 153035,SK-OV-3
neratinib,HCC-366
bexarotene,MV-4-11
indisulam,NCI-H1694
niclosamide,RL95-2
SCH-79797,NCI-H1581
daporinad,42-MG-BA
chlorambucil,JHH-5
marinopyrrole A,SNU-869
PI-103,TUHR4TKB
topotecan,NCI-H1650
BRD-K34222889,Ishikawa (Heraklio) 02 ER-
TW-37,TE-1
BI-2536,OCI-AML2
axitinib,GSS
YM-155,JK-1
B02,KYSE-70
elocalcitol,EPLC-272H
canertinib,P12-ICHIKAWA
ZSTK474,COR-L105
marinopyrrole A,MONO-MAC-1
ML050,SK-MEL-2
SMER-3,NCI-H1581
KHS101,KYM-1
BRD-K09587429,SK-CO-1
TGX-221,SW1116
PHA-793887,LU99
docetaxel,HGC-27
gemcitabine,HCC-56
MLN2238,BICR 31
KW-2449,PSN1
importazole,U-BLC1
WP1130,DV-90
OSI-930,NCI-H1694
BRD-K26531177,OVK18
marinopyrrole A,KP-N-YN
HBX-41108,KMS-34
NVP-TAE684,BT-20
MLN2238,NCI-H2444
paclitaxel,SNU-478
HBX-41108,RS4;11
niclosamide,COLO-320
alisertib,NCI-H358
NVP-TAE684,HGC-27
AZD6482,SW 1990
AZD6482,NCI-H2452
saracatinib,MDA-MB-468
BMS-754807,Hs 822.T
parbendazole,MM1-S
barasertib,NCI-H1703
vorinostat,SK-N-DZ
N9-isopropylolomoucine,HEC-1-B
PF-3758309,OCI-LY3
NSC23766,HuH28
spautin-1,HUP-T3
vorinostat,KE-39
canertinib,HCC4006
RAF265,LS411N
BI-2536,DMS 53
BRD-K34222889,HCT 116
B02,FaDu
triazolothiadiazine,NCI-H2126
necrosulfonamide,OCI-AML5
dasatinib,TE-5
PHA-793887,HCC827
entinostat,PA-TU-8902
neratinib,QGP-1
BRD-K34222889,UACC-62
gemcitabine,KNS-60
EX-527,MHH-NB-11
YM-155,HCC-95
pifithrin-alpha,HuCCT1
fluvastatin,NCI-H1339
vorinostat,Calu-6
N9-isopropylolomoucine,BxPC-3
etoposide,HL-60
etoposide,ZR-75-1
TPCA-1,Hs 578T
lapatinib,SHP-77
BRD-K24690302,HuH-6
BRD-K80183349,UACC-257
vandetanib,HCC1419
triptolide,SU-DHL-6
triazolothiadiazine,RS4;11
entinostat,OVK18
vorinostat,PK-1
methylstat,GMS-10
neratinib,GMS-10
necrosulfonamide,NCI-H1385
FQI-2,NCI-H2122
sorafenib,FU97
NVP-231,HH
triazolothiadiazine,OCI-M1
KU-60019,NCI-H2452
TPCA-1,LS411N
CD-437,CHP-126
paclitaxel,HuCCT1
vorinostat,Ishikawa (Heraklio) 02 ER-
MLN2238,MONO-MAC-1
narciclasine,23132/87
dasatinib,OS-RC-2
STF-31,8505C
gemcitabine,SNU-719
PI-103,PA-TU-8902
paclitaxel,NCI-H1666
entinostat,NCI-H1373
HBX-41108,FTC-133
spautin-1,SK-HEP-1
HBX-41108,SK-N-DZ
MLN2238,RVH-421
sorafenib,MEL-HO
necrosulfonamide,SU-DHL-6
manumycin A,KP-N-SI9s
MLN2238,KP-N-SI9s
OSI-027,GP2d
importazole,SNU-C5
parbendazole,KP-N-SI9s
dasatinib,SW 1990
BRD-K34222889,Set-2
etoposide,NH-6
ETP-46464,NCI-H1666
BRD-K34222889,KMS-34
PD 153035,RMG-I
narciclasine,RI-1
BRD-A02303741,OPM-2
PF-184,HEC-1-B
BI-2536,HOS
simvastatin,NCI-H1395
NVP-TAE684,SUP-T1
fingolimod,EB1
hyperforin,VM-CUB1
cytarabine hydrochloride,MM1-S
daporinad,SNU-601
Compound 7d-cis,SNU-46
sunitinib,TM-31
indisulam,TE-11
BRD-K26531177,LS1034
fingolimod,SUP-T11
BRD-K45681478,KMS-34
BRD-K09587429,OUMS-23
cediranib,EN
narciclasine,A172
TPCA-1,DBTRG-05MG
SMER-3,Panc 10.05
KW-2449,IGR-39
bleomycin A2,KLE
TPCA-1,MHH-CALL-3
KU-0063794,TE-6
methylstat,SNU-886
etoposide,LU99
TW-37,HCC2218
ZSTK474,HCC827
curcumin,NCI-H2141
DBeQ,HT-29
BRD-K34222889,THP-1
OSI-027,OV-90
gemcitabine,HCC827
methylstat,Panc 10.05
PDMP,MDST8
nakiterpiosin,MDA-MB-231
barasertib,DV-90
phloretin,HCC827
NVP-231,EPLC-272H
saracatinib,HCC-366
neratinib,NCI-H1703
B02,Hs 822.T
KU-0063794,EN
niclosamide,SNU-869
paclitaxel,SK-CO-1
bleomycin A2,RT4
curcumin,SNU-489
PIK-93,SK-BR-3
YM-155,SU-DHL-1
topotecan,OCI-AML5
AZD6482,HPAF-II
narciclasine,GAMG
rigosertib,RERF-LC-MS
PF-184,KNS-81
nintedanib,TE-6
NSC632839,SCaBER
GW-405833,GAMG
CD-437,FaDu
BRD-A94377914,SNU-46
tamatinib,KASUMI-1
lapatinib,TE-5
parbendazole,SK-N-FI
NSC23766,PANC-1
narciclasine,KMS-34
tamoxifen,SW1116
alisertib,HMCB
BI-2536,Hs 895.T
PIK-93,ST486
canertinib,KASUMI-1
dasatinib,HMCB
entinostat,HL-60
necrosulfonamide,MONO-MAC-1
mitomycin,NCI-H2452
isoevodiamine,SNU-1079
importazole,FaDu
chlorambucil,MDA-MB-468
NVP-231,HOS
fluvastatin,B-CPAP
NVP-TAE684,LS411N
docetaxel,NCI-H2196
CD-1530,SJSA-1
MGCD-265,RT4
barasertib,SNU-175
WP1130,SU.86.86
MLN2238,KMRC-3
MGCD-265,GAMG
BI-2536,TM-31
obatoclax,IMR-32
VER-155008,IA-LM
isoevodiamine,P12-ICHIKAWA
NVP-TAE684,KMS-34
KU-0063794,ESS-1
YM-155,OV-90
obatoclax,KNS-81
cerulenin,OCI-LY3
BRD-K45681478,NCI-H1755
lapatinib,HT-1376
OSI-027,NCI-H1734
marinopyrrole A,DK-MG
spautin-1,KMBC-2
valdecoxib,VCaP
tivozanib,GDM-1
niclosamide,FTC-238
PF-184,SNU-601
imatinib,TM-31
epigallocatechin-3-monogallate,OUMS-23
canertinib,SNU-182
BRD-K34222889,MEL-HO
B02,CAL-62
Ko-143,HCC202
NVP-TAE684,SUP-B15
COL-3,Set-2
COL-3,NCI-H2286
AT13387,NCI-H1339
daporinad,SK-N-DZ
daporinad,G-361
TW-37,LC-1/sq-SF
entinostat,DMS 53
mitomycin,SW48
TW-37,SW620
WP1130,PEER
N9-isopropylolomoucine,NCI-H2126
CAL-101,HCC202
sorafenib,KG-1-C
GANT-61,RCC10RGB
BRD-A94377914,MHH-NB-11
HBX-41108,NCI-H2141
BRD-K45681478,HuH-6
importazole,A-204
YM-155,A-204
pandacostat,Ishikawa (Heraklio) 02 ER-
vandetanib,HT-1376
hyperforin,KNS-81
neratinib,PK-1
HBX-41108,SK-N-AS
dasatinib,NCI-H1435
daporinad,SNU-182
TW-37,HMCB
rigosertib,HMCB
BRD-K26531177,SK-MM-2
CD-437,EN
tamoxifen,TCCSUP
SCH-79797,UACC-62
SCH-79797,NCI-H1373
MK-2206,IA-LM
topotecan,CL-34
N9-isopropylolomoucine,AMO-1
narciclasine,GMS-10
canertinib,TCCSUP
TW-37,TCCSUP
DBeQ,RVH-421
CD-437,23132/87
nakiterpiosin,KMS-27
isoevodiamine,Panc 03.27
ZSTK474,G-361
decitabine,OCI-LY3
NSC632839,SW1417
triazolothiadiazine,HCC-78
obatoclax,MHH-CALL-3
NVP-TAE684,SHP-77
dasatinib,TE-6
rigosertib,BICR 22
isoevodiamine,OVK18
methylstat,COV362
sunitinib,THP-1
valdecoxib,SNU-C2A
MK-2206,MV-4-11
NVP-TAE684,GSS
hyperforin,HT-144
NVP-231,SW48
nakiterpiosin,NCI-H2052
pifithrin-alpha,HCC202
necrostatin-7,SK-MEL-2
triazolothiadiazine,G-361
obatoclax,GDM-1
cediranib,A-498
saracatinib,HT115
NVP-231,RS4;11
AT13387,DND-41
COL-3,SW 1783
KW-2449,NCI-H1395
BRD-K34222889,JeKo-1
semagacestat,SNU-1041
necrosulfonamide,A172
narciclasine,TE-11
SCH-79797,SNU-449
topotecan,LCLC-103H
BRD-K66532283,LCLC-103H
AT13387,BCP-1
Compound 7d-cis,NCI-H1155
sunitinib,HPAF-II
NVP-TAE684,TT
FQI-2,Ishikawa (Heraklio) 02 ER-
gemcitabine,RPMI-8402
WP1130,DEL
bleomycin A2,Hs 895.T
BRD-K34222889,MC116
RAF265,KASUMI-2
sorafenib,SK-CO-1
WP1130,UACC-257
vandetanib,HCC-56
CIL55A,SJSA-1
BRD-K11533227,PA-TU-8902
parbendazole,HCC4006
TPCA-1,NCI-H2452
RITA,LUDLU-1
WP1130,NCI-H1563
CIL55A,SNU-478
fluvastatin,LCLC-103H
cediranib,SK-N-DZ
triptolide,GAMG
alisertib,Becker
PF-184,SU-DHL-1
methylstat,MOLM-6
TPCA-1,YD-38
paclitaxel,CAL-62
spautin-1,OCI-AML5
etoposide,NCI-H1299
ZSTK474,GI-1
necrosulfonamide,OVK18
sunitinib,A549
neratinib,TE-11
GANT-61,BICR 22
CHIR-99021,B-CPAP
simvastatin,A-375
importazole,NCI-H1915
WP1130,KMS-34
TW-37,HEC-251
obatoclax,SCC-4
topotecan,KMS-27
LRRK2-IN-1,KASUMI-2
rigosertib,MOR/CPR
barasertib,SUP-B15
neratinib,DMS 79
linsitinib,VCaP
alisertib,SNU-387
methylstat,"G-292, clone A141B1"
triazolothiadiazine,SK-N-FI
dasatinib,LUDLU-1
neratinib,NCI-H2286
triazolothiadiazine,YD-38
indisulam,SK-N-DZ
BI-2536,GSS
sorafenib,RVH-421
MGCD-265,HEC-50B
sorafenib,BT-20
cediranib,SK-BR-3
cerulenin,TCCSUP
obatoclax,Capan-1
docetaxel,BC-3C
WP1130,EPLC-272H
BMS-754807,HUP-T3
gossypol,Ishikawa (Heraklio) 02 ER-
YM-155,UACC-62
NVP-TAE684,KASUMI-2
BI-2536,NCI-H1563
triptolide,SNU-5
TW-37,SNU-C5
ZSTK474,PF-382
SMER-3,RPMI-8402
AM-580,YD-8
YM-155,HCT 116
JW-55,P3HR-1
tamatinib,NCI-H1581
PHA-793887,SNU-475
PD 153035,BICR 22
gossypol,LS411N
BRD-K26531177,LU65
IPR-456,HPAF-II
neratinib,COLO-800
CD-437,OVTOKO
BRD-K66532283,Set-2
BRD-K34222889,NCI-H226
KU-0063794,HGC-27
BRD-K45681478,GAMG
AZD6482,HH
etoposide,TOV-112D
lapatinib,EPLC-272H
nakiterpiosin,JHH-6
STF-31,GSS
PF-3758309,TC-71
MG-132,JeKo-1
SMER-3,"G-292, clone A141B1"
STF-31,SU.86.86
BRD-K45681478,LN-229
axitinib,SNU-475
curcumin,SNU-46
ZSTK474,THP-1
axitinib,RERF-LC-MS
triazolothiadiazine,AMO-1
cabozantinib,AsPC-1
niclosamide,SK-HEP-1
DNMDP,Hs 578T
entinostat,SNU-601
TPCA-1,LN-18
YM-155,SW620
AZD6482,FTC-238
TPCA-1,Set-2
MG-132,SNU-423
KU-55933,HuT 78
linsitinib,HCC-1833
obatoclax,SNU-410
nakiterpiosin,RS4;11
fingolimod,OUMS-23
KU-0063794,COLO-800
DBeQ,ESS-1
NVP-TAE684,EN
necrosulfonamide,TOV-21G
neratinib,WM-793
PRIMA-1,ONCO-DG-1
YM-155,NCI-H1581
OSI-027,NCI-H1755
triazolothiadiazine,HPB-ALL
IU1,A2058
Compound 7d-cis,SNU-1079
NSC632839,PE/CA-PJ49
sunitinib,UACC-62
triazolothiadiazine,NCI-H1666
tivozanib,J82
saracatinib,NCI-H1703
LE-135,MDA-MB-468
pluripotin,NCI-H1373
BRD-K34222889,SNU-869
B02,SNU-423
dasatinib,Calu-1
sorafenib,NCI-H1755
MLN2238,KP-N-YN
triptolide,HCC-56
gossypol,SK-MEL-2
AZD6482,DMS 273
BRD1835,MDA-MB-361
KW-2449,HT-29
ABT-737,SW 1783
PHA-793887,CHP-126
austocystin D,GMS-10
BRD-K26531177,GMS-10
rigosertib,PF-382
NVP-TAE684,SK-N-BE(2)
PF-184,P31/FUJ
PI-103,NCI-H446
nintedanib,RS4;11
axitinib,NCI-H1755
