DRUG_NAME,CELL_LINE_NAME
Sinularin,KARPAS-45
Vinorelbine,KYSE-180
Afatinib,KYSE-180
Refametinib,LS-513
Methotrexate,KYSE-520
Trametinib,CP50-MEL-B
Dihydrorotenone,OV-56
Pictilisib,LOUCY
Motesanib,EW-13
Vorinostat,SW1463
Methotrexate,CFPAC-1
Venetoclax,NCI-H526
Trametinib,UACC-62
Cediranib,SKG-IIIa
Bosutinib,L-363
Paclitaxel,MOLT-16
Sinularin,SW13
Teniposide,DEL
MK-2206,H3255
Dabrafenib,HSC-2
Motesanib,NCI-H1792
Docetaxel,NCI-H1944
Vorinostat,U-266
Sapitinib,NCI-H358
Venetoclax,Mo-T
Palbociclib,HT-144
Osimertinib,MZ2-MEL
Selumetinib,KP-2
Osimertinib,BONNA-12
Palbociclib,SU-DHL-4
Cediranib,CHSA0011
Selumetinib,LS-513
Methotrexate,NCI-H1792
Afatinib,NCI-H358
Ipatasertib,TE-6
Afatinib,NCI-H1755
Pictilisib,CCK-81
MK-2206,SK-OV-3
Palbociclib,ES1
Ipatasertib,SKM-1
Bosutinib,TE-4
Vorinostat,RF-48
Palbociclib,DOV13
Afatinib,MKN1
Methotrexate,DSH1
Vorinostat,ES1
Bortezomib,PA-TU-8988T
Sapitinib,NB(TU)1-10
Ipatasertib,JHH-2
Venetoclax,NCI-H1341
Lapatinib,WM793B
Talazoparib,M14
Bromosporine,Ca9-22
Cediranib,ES1
Bortezomib,KYAE-1
Bosutinib,JHU-029
Ipatasertib,NKM-1
Palbociclib,A375
Vinorelbine,IPC-298
Dasatinib,FU-OV-1
Ipatasertib,CHSA0011
Lapatinib,HT-144
Vinorelbine,MHH-NB-11
Dasatinib,DOV13
Pictilisib,KY821
Docetaxel,EJM
Teniposide,23132-87
Cediranib,A375
Methotrexate,KELLY
Venetoclax,NB(TU)1-10
Irinotecan,MLMA
Tanespimycin,SAT
Afatinib,HuCCT1
Selumetinib,NCI-H2347
Ribociclib,SU-DHL-4
Vinorelbine,EW-11
Vinorelbine,RPMI-6666
Ibrutinib,SUP-M2
Cediranib,CAL-62
Docetaxel,639-V
Docetaxel,MFE-319
Paclitaxel,MONO-MAC-6
Teniposide,KASUMI-1
Irinotecan,KM-H2
Pictilisib,SNU-387
Motesanib,KY821
Dabrafenib,MPP-89
Buparlisib,L-363
Venetoclax,DoTc2-4510
Savolitinib,MDST8
Refametinib,PEO1
Sapitinib,23132-87
Savolitinib,NCI-H1435
Motesanib,CP50-MEL-B
Ipatasertib,P12-ICHIKAWA
Selumetinib,NCI-H3122
Venetoclax,MHH-CALL-4
Afatinib,NCI-H1435
Bortezomib,MONO-MAC-6
Docetaxel,SISO
Pictilisib,HT-144
Dihydrorotenone,BB49-HNC
Dabrafenib,A101D
Selumetinib,HTC-C3
Palbociclib,RH-1
Ibrutinib,HAL-01
Sapitinib,KARPAS-45
Vorinostat,H9
Dasatinib,KCL-22
Cediranib,769-P
Docetaxel,MDST8
Cediranib,U031
Lapatinib,MOLM-13
Buparlisib,SK-N-FI
Refametinib,MKN45
Vorinostat,CAL-51
Lapatinib,NCI-H1963
Sinularin,NB10
Dabrafenib,M14
Buparlisib,JHU-011
Vorinostat,KASUMI-1
Tanespimycin,TE-10
Sapitinib,SUP-M2
Bortezomib,SISO
Selumetinib,DAN-G
Palbociclib,PSN1
Vinorelbine,CRO-AP2
Buparlisib,JVM-3
Selumetinib,NCI-H747
Osimertinib,CAL-33
Paclitaxel,GI-1
Dihydrorotenone,KM-H2
Refametinib,OVCAR-5
Sinularin,EFM-192A
Selumetinib,DBTRG-05MG
Irinotecan,RPMI-8866
Bortezomib,A673
Refametinib,MONO-MAC-6
Dihydrorotenone,EJM
Vorinostat,CCRF-CEM
Bromosporine,WM-115
Afatinib,EW-11
Palbociclib,UACC-62
Paclitaxel,COR-L321
Sinularin,ML-2
Lapatinib,U031
Selumetinib,IGR-37
Afatinib,SW156
Trametinib,A431
Teniposide,KMOE-2
Tanespimycin,HT55
Docetaxel,NOMO-1
Ibrutinib,EoL-1-cell
Buparlisib,HCC-44
Talazoparib,KARPAS-1106P
Bromosporine,IGR-37
Lapatinib,NCI-H358
Savolitinib,NCI-H526
Taselisib,PL-21
Talazoparib,MG-63
Selumetinib,HAL-01
Buparlisib,NCI-H1781
Sapitinib,JEKO-1
Lapatinib,HCC2218
Ipatasertib,23132-87
Paclitaxel,HCC1806
Afatinib,CHSA0011
Dabrafenib,EW-12
Ipatasertib,NCI-H660
Tanespimycin,OV-7
Dasatinib,BICR31
Sapitinib,A431
Ribociclib,SBC-3
Talazoparib,NCI-H1944
Ibrutinib,P12-ICHIKAWA
Ipatasertib,Jurkat
Ibrutinib,KYSE-450
Selumetinib,MEG-01
Talazoparib,KON
Venetoclax,KELLY
Cediranib,23132-87
Tanespimycin,HCC-44
Lapatinib,H9
Bromosporine,ALL-SIL
Cediranib,NCI-H1648
Dabrafenib,RPMI-8866
Vorinostat,SK-MEL-5
Talazoparib,A3-KAW
Venetoclax,NCI-H1581
Paclitaxel,NCI-H209
Talazoparib,JiyoyeP-2003
Pictilisib,HCC-44
Dasatinib,KURAMOCHI
Talazoparib,RCC-JF
Dabrafenib,LOUCY
Tanespimycin,TOV-112D
Osimertinib,MOLT-16
Dihydrorotenone,SK-CO-1
Docetaxel,GR-ST
Afatinib,DEL
Trametinib,PCI-6A
Ribociclib,KM-H2
Dasatinib,NCI-H661
Buparlisib,A3-KAW
Lapatinib,RCM-1
Refametinib,PSN1
Teniposide,NB(TU)1-10
Cediranib,HOS
Selumetinib,MEL-HO
Docetaxel,Ca9-22
Teniposide,NCI-H1963
Talazoparib,NB(TU)1-10
Palbociclib,C3A
Buparlisib,GAMG
Refametinib,769-P
Palbociclib,SK-MEL-30
Paclitaxel,SUP-M2
Selumetinib,SW780
Vorinostat,LOUCY
Tanespimycin,NCI-H23
Palbociclib,U-698-M
Selumetinib,WM793B
Palbociclib,BONNA-12
Docetaxel,NCI-H841
Pictilisib,WSU-DLCL2
Savolitinib,GR-ST
Talazoparib,EW-16
Savolitinib,EFM-192A
Afatinib,NCI-H1563
Lapatinib,KELLY
Paclitaxel,G-MEL
Methotrexate,HCT-15
Bortezomib,SW626
Afatinib,SU-DHL-16
Vinorelbine,L-363
Pictilisib,LOXIMVI
Talazoparib,EW-3
Palbociclib,YKG-1
Lapatinib,MKN1
Sapitinib,ALL-SIL
Savolitinib,JHU-029
Buparlisib,NCI-H23
Ribociclib,NCC021
Ibrutinib,EB-3
Ipatasertib,KYSE-520
Methotrexate,SBC-5
MK-2206,NCI-H1563
Tanespimycin,CP50-MEL-B
Talazoparib,NCI-H1341
Cediranib,CTB-1
Buparlisib,ChaGo-K-1
Refametinib,TOV-112D
Sapitinib,KON
Selumetinib,BxPC-3
Ribociclib,KNS-62
Irinotecan,RL
Afatinib,EW-7
Vinorelbine,MFE-319
Dihydrorotenone,TC-71
Afatinib,HCC2998
Vorinostat,CADO-ES1
Talazoparib,KM-H2
Trametinib,EoL-1-cell
Selumetinib,G-MEL
Docetaxel,SBC-3
Docetaxel,MEG-01
Talazoparib,MOLT-16
Buparlisib,SK-MG-1
Dihydrorotenone,KELLY
Motesanib,RS4-11
Vinorelbine,Becker
Vorinostat,KELLY
Bortezomib,JEKO-1
Sapitinib,NCI-H1703
Tretinoin,SU-DHL-16
Cediranib,MPP-89
MK-2206,NCI-H1781
Docetaxel,BB49-HNC
Docetaxel,no-10
Buparlisib,MFE-319
Teniposide,GR-ST
Bortezomib,OACp4C
Docetaxel,NB10
Vorinostat,NB5
Motesanib,NCI-H1436
Motesanib,WSU-DLCL2
Lapatinib,NKM-1
Methotrexate,OE19
Docetaxel,CAL-62
Irinotecan,JHU-011
Bortezomib,CHP-212
Bosutinib,TK
Methotrexate,PSN1
Venetoclax,NCI-H1436
Paclitaxel,MKN45
Dabrafenib,ST486
Osimertinib,KMOE-2
MK-2206,U-698-M
Trametinib,MEG-01
Bortezomib,MZ2-MEL
Savolitinib,8-MG-BA
Vorinostat,NCI-H209
Taselisib,VAL
Refametinib,A375
Vorinostat,NCI-H1876
Docetaxel,LOUCY
Dasatinib,EB-3
Selumetinib,DoTc2-4510
Motesanib,DAN-G
Buparlisib,PA-TU-8902
Ribociclib,NB10
Ipatasertib,SW948
Tanespimycin,BONNA-12
Vinorelbine,NCI-H1792
Tanespimycin,HCC2998
Vinorelbine,MS751
Bromosporine,Hey
Paclitaxel,NCI-H2023
Bosutinib,NCI-H211
Bromosporine,HT-144
Docetaxel,IHH-4
Bromosporine,ATN-1
Vinorelbine,FADU
Osimertinib,SIG-M5
Paclitaxel,NCI-H1963
Taselisib,NCI-H2228
Talazoparib,NCI-H1623
Selumetinib,BxPC-3
Docetaxel,NAMALWA
MK-2206,REH
Bortezomib,MDA-MB-157
Teniposide,TE-8
Bortezomib,ECC10
Vorinostat,G-MEL
Buparlisib,SKG-IIIa
Paclitaxel,MS751
Ibrutinib,Jurkat
Selumetinib,CCK-81
Ipatasertib,OE19
Docetaxel,CAPAN-1
Tretinoin,CRO-AP2
Vorinostat,REH
Ibrutinib,YKG-1
Osimertinib,ML-2
Dasatinib,LOU-NH91
Vorinostat,RPMI-8226
Talazoparib,CHP-134
MK-2206,WM-115
Dasatinib,PC-14
Bromosporine,LXF-289
Tanespimycin,SW948
Paclitaxel,H9
Tanespimycin,C32
Paclitaxel,MHH-CALL-2
Trametinib,OCI-LY-19
Bosutinib,EoL-1-cell
Motesanib,LB996-RCC
Paclitaxel,IST-SL2
Irinotecan,ATN-1
Afatinib,DoTc2-4510
Vorinostat,Detroit562
Osimertinib,EoL-1-cell
Lapatinib,NB(TU)1-10
Trametinib,NKM-1
Sapitinib,NCI-H747
Afatinib,786-0
Motesanib,MS-1
Methotrexate,PANC-10-05
Refametinib,CAS-1
Dabrafenib,WM35
Bortezomib,UWB1.289
Docetaxel,HSC-2
Bortezomib,DK-MG
Trametinib,SK-LU-1
Pictilisib,MG-63
Trametinib,TE-8
Cediranib,KYSE-410
Pictilisib,NALM-6
Vorinostat,KON
Talazoparib,CAL-62
Bromosporine,NCI-H1792
Vinorelbine,Detroit562
Dasatinib,KYSE-140
Irinotecan,MHH-CALL-2
Osimertinib,OSC-20
Bortezomib,SU-DHL-4
Dihydrorotenone,GR-ST
Bosutinib,WSU-DLCL2
Bromosporine,MG-63
Bortezomib,G-MEL
Dihydrorotenone,ALL-SIL
Afatinib,WSU-DLCL2
Savolitinib,L-540
Bromosporine,NCI-H1581
Selumetinib,A3-KAW
Docetaxel,RPMI-6666
Refametinib,SW948
Dihydrorotenone,HCC-15
Cediranib,HuCCT1
MK-2206,HCC1395
Pictilisib,RPMI-7951
Methotrexate,RERF-LC-KJ
Sinularin,NCI-H211
Teniposide,CHP-134
Docetaxel,KCL-22
Palbociclib,GAK_cell
Tanespimycin,OACp4C
Dabrafenib,Detroit562
Osimertinib,SK-OV-3
Refametinib,SW780
Savolitinib,MOLM-13
Irinotecan,EW-13
Irinotecan,JVM-3
Tanespimycin,OVK-18
Venetoclax,CCK-81
Irinotecan,SBC-5
Venetoclax,NCI-H2141
Ibrutinib,ST486
Dabrafenib,GAK_cell
Paclitaxel,NAMALWA
Ipatasertib,KASUMI-1
Buparlisib,KON
Bromosporine,KMOE-2
Trametinib,NUGC-4
Bromosporine,42-MG-BA
Osimertinib,NCI-H1781
Savolitinib,SU-DHL-10
Taselisib,SCC90
Afatinib,KELLY
MK-2206,CRO-AP2
Vinorelbine,NCI-H1755
Tanespimycin,HCC2218
Vorinostat,U-698-M
Palbociclib,TE-12
Taselisib,GR-ST
Taselisib,OE19
Ribociclib,KYSE-180
Afatinib,KARPAS-1106P
Irinotecan,Ca-Ski
Taselisib,FU-OV-1
Paclitaxel,PL-21
Teniposide,Jurkat
Selumetinib,SW1271
Ibrutinib,KYSE-140
Taselisib,T98G
Vinorelbine,MONO-MAC-6
Afatinib,ES1
Palbociclib,SU-DHL-16
Vinorelbine,LNZTA3WT4
Afatinib,JVM-3
Vorinostat,MLMA
Pictilisib,CFPAC-1
Talazoparib,SK-CO-1
Docetaxel,639-V
Buparlisib,NUGC-3
Vorinostat,EoL-1-cell
Trametinib,DSH1
Refametinib,HT-144
Methotrexate,ATN-1
Savolitinib,CW-2
Ribociclib,PCI-6A
Docetaxel,MKN1
Cediranib,A673
Sapitinib,SKG-IIIa
Buparlisib,COR-L32
Vinorelbine,UWB1.289
Methotrexate,CAL-27
Dabrafenib,HOS
Vorinostat,NB14
Sapitinib,EB-3
Pictilisib,SIG-M5
Tanespimycin,NCI-H211
Irinotecan,CAL-27
Ibrutinib,NCI-H292
Bortezomib,EW-7
Savolitinib,KYSE-140
Buparlisib,A4-Fuk
Docetaxel,Becker
Pictilisib,HAL-01
Vinorelbine,RF-48
Irinotecan,NCI-H1341
Docetaxel,MLMA
Lapatinib,8-MG-BA
Bortezomib,ASH-3
Lapatinib,KMRC-1
Paclitaxel,EVSA-T
Ribociclib,WSU-NHL
Dabrafenib,H9
Afatinib,NCI-H1876
Vinorelbine,OACp4C
Docetaxel,KARPAS-1106P
Teniposide,SIMA
Talazoparib,LB996-RCC
Taselisib,IST-SL2
Docetaxel,KE-37
MK-2206,HCC202
Sapitinib,MDA-MB-157
Tanespimycin,KP-2
Tanespimycin,KCL-22
MK-2206,ML-2
Osimertinib,RCC-AB
Buparlisib,LB996-RCC
Vinorelbine,LOXIMVI
Cediranib,SNG-M
Trametinib,ML-1
Sinularin,639-V
Teniposide,CAL-51
Motesanib,Detroit562
Dabrafenib,P12-ICHIKAWA
Osimertinib,KYAE-1
Bosutinib,SU8686
Teniposide,KELLY
Cediranib,RERF-LC-KJ
Docetaxel,MS751
Savolitinib,BB49-HNC
Bosutinib,COR-L321
MK-2206,COR-L105
Pictilisib,JVM-3
Dihydrorotenone,NCI-H23
Bosutinib,CAL-78
Lapatinib,NAMALWA
Pictilisib,NOMO-1
Venetoclax,ST486
Docetaxel,HCC-44
Bortezomib,HCC2998
Teniposide,IHH-4
Pictilisib,NCI-H2228
Savolitinib,HCC-44
Docetaxel,VAL
Bromosporine,DEL
Bortezomib,TC-YIK
Irinotecan,OVK-18
Vorinostat,JSC-1
Selumetinib,WM-115
Selumetinib,HCC-15
Savolitinib,SW780
Bortezomib,CaR-1
Dihydrorotenone,EN
Pictilisib,T98G
Talazoparib,HSC-2
Tanespimycin,LS-513
Pictilisib,SUP-M2
Bortezomib,Mo-T
Tanespimycin,CAL-62
Cediranib,COR-L105
Cediranib,MEL-HO
Lapatinib,NB14
Taselisib,SAT
Pictilisib,NCI-H250
MK-2206,OACM5-1
Dasatinib,HuO-3N1
Ibrutinib,Detroit562
MK-2206,SK-MEL-30
Afatinib,HSC-2
Savolitinib,639-V
Buparlisib,PC-14
Tretinoin,ChaGo-K-1
Afatinib,EoL-1-cell
Ipatasertib,NCI-H1781
Docetaxel,IGROV-1
Ipatasertib,PA-TU-8988T
Teniposide,A101D
Osimertinib,NCI-H1963
Savolitinib,SNU-61
Dihydrorotenone,EVSA-T
Buparlisib,NCI-H1703
Irinotecan,SKM-1
Irinotecan,H9
Lapatinib,NCI-H292
Trametinib,MEL-HO
Bosutinib,DSH1
Venetoclax,JSC-1
Buparlisib,CHP-134
Irinotecan,KMOE-2
Tanespimycin,KMOE-2
MK-2206,WSU-NHL
Ipatasertib,EW-3
Ipatasertib,DSH1
Sinularin,TYK-nu
Ibrutinib,ALL-SIL
Talazoparib,BONNA-12
Bromosporine,COR-L105
Dabrafenib,SU-DHL-10
Palbociclib,BV-173
Tanespimycin,8-MG-BA
Taselisib,LOXIMVI
Ibrutinib,NCI-H1963
Osimertinib,EW-3
Vorinostat,KM-H2
Palbociclib,PCI-6A
Buparlisib,NB10
Bosutinib,OACp4C
Methotrexate,MSTO-211H
Osimertinib,OVCAR-3
Tanespimycin,SUP-M2
Talazoparib,IGROV-1
Teniposide,CHP-212
Sinularin,H9
Trametinib,RPMI-7951
Irinotecan,Hey
MK-2206,NCI-H2228
Docetaxel,NCI-H1703
Talazoparib,NCI-H211
Buparlisib,HuCCT1
Savolitinib,NCI-H209
Vinorelbine,HSC-2
Taselisib,KE-37
Selumetinib,KNS-62
Afatinib,ECC10
Ibrutinib,A4-Fuk
Motesanib,IST-SL1
Bromosporine,FADU
Motesanib,RCC-JF
Venetoclax,NCI-H1792
Refametinib,SCC90
Methotrexate,BICR78
Selumetinib,SNU-C1
Ibrutinib,JSC-1
Dasatinib,NCI-H1792
Bortezomib,TOV-21G
Refametinib,U031
Tanespimycin,MFE-319
Sapitinib,DSH1
Dihydrorotenone,SUP-T1
Docetaxel,ML-2
Vorinostat,PC-14
Dasatinib,PANC-10-05
Bortezomib,ST486
Savolitinib,CFPAC-1
MK-2206,IST-SL2
Selumetinib,KU-19-19
Bosutinib,A431
Dasatinib,KYSE-50
Docetaxel,NB14
Methotrexate,IHH-4
Bortezomib,HCC1806
Dabrafenib,HCT-15
Cediranib,BxPC-3
Bromosporine,A3-KAW
Talazoparib,SUP-M2
Irinotecan,IST-SL1
Bortezomib,LCLC-97TM1
Selumetinib,KELLY
Refametinib,SNU-C1
Venetoclax,SNG-M
Cediranib,SBC-5
Docetaxel,HCT-15
Dabrafenib,EW-11
Pictilisib,NCC021
Sinularin,SN12C
Cediranib,BC-1
Venetoclax,EW-12
Talazoparib,NKM-1
Dasatinib,MG-63
Paclitaxel,RPMI-7951
Motesanib,MZ2-MEL
Ribociclib,8-MG-BA
Lapatinib,KYSE-140
Docetaxel,CAL-120
Ribociclib,HOS
Docetaxel,SK-MM-2
Docetaxel,LNZTA3WT4
Dabrafenib,NCI-H1581
Buparlisib,NCI-H841
Sapitinib,HSC-4
Osimertinib,HCC-827
Talazoparib,RCC-AB
Dihydrorotenone,KASUMI-1
Selumetinib,KY821
Trametinib,MHH-NB-11
Tanespimycin,SKN
Afatinib,SU-DHL-1
Docetaxel,BB49-HNC
Paclitaxel,MDST8
Dabrafenib,CAKI-1
Motesanib,MS751
Ipatasertib,OACM5-1
Teniposide,LB996-RCC
Vinorelbine,TC-YIK
Tanespimycin,JVM-3
Savolitinib,A673
Ibrutinib,H3255
Sinularin,CAL-62
Sapitinib,TE-10
Dihydrorotenone,MS751
Bortezomib,BC-1
Lapatinib,MS-1
Ipatasertib,EoL-1-cell
Venetoclax,EW-11
Methotrexate,LOU-NH91
Ipatasertib,NB6
Teniposide,NB10
Dasatinib,H3255
Methotrexate,SK-CO-1
Selumetinib,HCC-44
Pictilisib,CRO-AP2
Osimertinib,769-P
Sinularin,MSTO-211H
Talazoparib,P12-ICHIKAWA
Paclitaxel,CAL-62
Ipatasertib,T84
Paclitaxel,IHH-4
Motesanib,NALM-6
Buparlisib,RH-1
Cediranib,HCC-44
Sapitinib,A3-KAW
Refametinib,UWB1.289
Docetaxel,HCC70
Selumetinib,MKN45
Dabrafenib,HT-144
Talazoparib,EW-12
Ibrutinib,SNU-398
Trametinib,LS-1034
Buparlisib,HAL-01
Paclitaxel,RS4-11
Bromosporine,A704
Lapatinib,LB996-RCC
Teniposide,LXF-289
Vorinostat,DEL
Teniposide,KM-H2
Ribociclib,NCI-H1963
Palbociclib,NALM-6
Methotrexate,CW-2
Methotrexate,NCI-H23
Dihydrorotenone,ESO51
Teniposide,M14
Vinorelbine,ESO51
Lapatinib,MDA-MB-231
Buparlisib,MHH-CALL-2
Methotrexate,CADO-ES1
Taselisib,NCI-H1792
MK-2206,NCI-H292
Cediranib,KYSE-520
Venetoclax,BV-173
Selumetinib,RPMI-6666
Sapitinib,JHH-2
Docetaxel,Mo-T
Dasatinib,KASUMI-1
Methotrexate,KM-H2
Paclitaxel,RPMI-6666
Trametinib,LB373-MEL-D
Afatinib,SU-DHL-4
Afatinib,Detroit562
Buparlisib,RPMI-8226
Sapitinib,NB10
Dabrafenib,SUP-M2
Savolitinib,MS751
MK-2206,SU-DHL-4
Afatinib,NCI-H1648
Tanespimycin,KARPAS-45
Pictilisib,OV-7
Paclitaxel,BT-20
Buparlisib,TYK-nu
Sinularin,OACp4C
Irinotecan,NKM-1
Palbociclib,TC-71
Afatinib,BV-173
Afatinib,WM793B
Trametinib,KYSE-140
Trametinib,TOV-112D
Irinotecan,KARPAS-1106P
MK-2206,JSC-1
Palbociclib,HCT-15
Savolitinib,C3A
Irinotecan,RPMI-7951
Refametinib,ML-2
Ipatasertib,BB49-HNC
Paclitaxel,L-363
Selumetinib,SW948
Methotrexate,CAL-120
Sapitinib,SIG-M5
Talazoparib,SU-DHL-1
Paclitaxel,BONNA-12
Ribociclib,CHP-212
Refametinib,BICR31
Bortezomib,Jurkat
Dihydrorotenone,KE-37
Buparlisib,KE-37
Bosutinib,U-266
Docetaxel,LU-135
Osimertinib,SCC-15
Tanespimycin,RPMI-6666
Paclitaxel,PCI-6A
Buparlisib,EFM-192A
Docetaxel,NCI-H1963
MK-2206,SU-DHL-1
MK-2206,EJM
Methotrexate,PANC-03-27
Afatinib,KM-H2
Talazoparib,ES4
Osimertinib,MHH-CALL-2
Savolitinib,PA-TU-8988T
Lapatinib,MOLT-16
Dasatinib,A4-Fuk
Paclitaxel,BB65-RCC
Bromosporine,KYSE-140
Buparlisib,G-MEL
Methotrexate,ES1
Ribociclib,NCI-H64
Lapatinib,CAKI-1
Bromosporine,HT55
Selumetinib,SKM-1
Talazoparib,A704
Teniposide,NALM-6
Savolitinib,MFE-319
Ibrutinib,Mo-T
Vorinostat,KCL-22
Dasatinib,OACp4C
Paclitaxel,EW-22
Vinorelbine,EW-7
Osimertinib,PCI-30
Buparlisib,COR-L321
Motesanib,RPMI-8866
Selumetinib,NCI-H747
Dihydrorotenone,KARPAS-45
Vinorelbine,WSU-NHL
Docetaxel,CAMA-1
Cediranib,EVSA-T
Buparlisib,WSU-NHL
Bortezomib,SK-MM-2
Osimertinib,NCI-H1648
Ipatasertib,KM-H2
Afatinib,A253
Tanespimycin,MONO-MAC-6
Ribociclib,MHH-NB-11
Irinotecan,KELLY
Bortezomib,MDST8
Sapitinib,FLO-1
Docetaxel,JEKO-1
Savolitinib,ESO51
Buparlisib,HOS
Docetaxel,U-266
Dasatinib,SCC-15
Buparlisib,MDST8
Cediranib,BV-173
Lapatinib,MHH-CALL-4
Tretinoin,JHU-029
Savolitinib,P12-ICHIKAWA
Irinotecan,NCI-H1876
Venetoclax,ATN-1
Irinotecan,CTB-1
Vinorelbine,JHU-011
Bromosporine,PANC-08-13
Ibrutinib,JiyoyeP-2003
Palbociclib,NCI-H1869
Selumetinib,KP-N-YN
Lapatinib,769-P
Dasatinib,PCI-6A
Docetaxel,MHH-CALL-4
Paclitaxel,YH-13
Dabrafenib,IGROV-1
Paclitaxel,NOMO-1
Tretinoin,MZ2-MEL
Osimertinib,CAKI-1
Tanespimycin,Becker
Dasatinib,JVM-3
Dasatinib,A431
Bromosporine,SNU-61
MK-2206,NCC021
Vorinostat,FU97
Taselisib,ATN-1
Lapatinib,LCLC-97TM1
Buparlisib,IST-SL2
Pictilisib,IHH-4
Trametinib,SNU-398
Bortezomib,EVSA-T
Vinorelbine,NALM-6
Selumetinib,CHP-212
Tanespimycin,no-10
Cediranib,MFE-319
Irinotecan,VAL
Ipatasertib,SU-DHL-16
Bromosporine,OACp4C
Savolitinib,PANC-03-27
Tanespimycin,C3A
Ibrutinib,KYSE-410
Docetaxel,TC-71
Bosutinib,RF-48
Ipatasertib,JEKO-1
Pictilisib,PA-TU-8988T
Bortezomib,OSC-20
MK-2206,BONNA-12
Bortezomib,GR-ST
Osimertinib,SNU-449
Afatinib,NCI-H1623
Irinotecan,RS4-11
Ribociclib,ST486
Lapatinib,H3255
Vinorelbine,P12-ICHIKAWA
Trametinib,M14
Bromosporine,SKM-1
Methotrexate,HCC2998
Irinotecan,SU-DHL-10
Methotrexate,42-MG-BA
Ribociclib,TC-71
Talazoparib,NCI-H1792
Dasatinib,IGROV-1
Afatinib,42-MG-BA
Cediranib,YH-13
Trametinib,DAN-G
Talazoparib,KELLY
Dabrafenib,RPMI-6666
Lapatinib,L-428
Ipatasertib,GR-ST
Tanespimycin,TE-4
Methotrexate,PANC-04-03
Refametinib,HTC-C3
Methotrexate,MHH-CALL-2
Ipatasertib,DEL
Venetoclax,CADO-ES1
Docetaxel,JIMT-1
Bromosporine,NOMO-1
Motesanib,NCI-H1876
Ipatasertib,BV-173
Sapitinib,NUGC-4
Vorinostat,JVM-3
Ibrutinib,KYSE-520
Dasatinib,BB49-HNC
Vinorelbine,SBC-3
Bortezomib,IGROV-1
Lapatinib,G-MEL
Ipatasertib,MONO-MAC-6
Refametinib,MDA-MB-231
Docetaxel,Ca-Ski
Palbociclib,CaR-1
Savolitinib,KMRC-20
Sinularin,FADU
Pictilisib,NCI-H2023
Sinularin,P12-ICHIKAWA
Ipatasertib,OCI-LY-19
Docetaxel,TE-4
Tretinoin,A431
Selumetinib,SW626
Selumetinib,NCI-H1792
Dabrafenib,SW13
Vorinostat,KY821
Motesanib,NB10
Trametinib,KNS-62
Talazoparib,ATN-1
Teniposide,HAL-01
Ribociclib,HuH-7
Lapatinib,NB6
Osimertinib,EW-22
Palbociclib,SU-DHL-1
Vinorelbine,OVK-18
Pictilisib,U-698-M
Methotrexate,CCK-81
Lapatinib,A101D
Methotrexate,PANC-08-13
Taselisib,REH
Trametinib,ESO51
Osimertinib,PCI-6A
Dihydrorotenone,HPAC
Savolitinib,CAL-27
Ipatasertib,EW-11
Palbociclib,LS-513
Refametinib,A101D
Bortezomib,NALM-6
Lapatinib,KMOE-2
Ibrutinib,GAK_cell
Selumetinib,JSC-1
Dabrafenib,ES1
Dasatinib,KARPAS-45
Teniposide,HSC-2
Methotrexate,A375
Irinotecan,42-MG-BA
Bortezomib,OVK-18
Osimertinib,MONO-MAC-6
Irinotecan,RCC-AB
Vinorelbine,NUGC-3
Vorinostat,NB(TU)1-10
Docetaxel,BONNA-12
Osimertinib,SIMA
Sapitinib,JIMT-1
Trametinib,WM278
Savolitinib,CAL-51
Afatinib,FADU
Afatinib,ALL-SIL
Osimertinib,VAL
Ribociclib,HeLa
Selumetinib,CAL-33
Irinotecan,NCI-H1623
Tretinoin,G-MEL
Taselisib,UACC-62
Refametinib,MOLM-13
Tretinoin,ECC12
Palbociclib,SW156
Trametinib,G-MEL
Tretinoin,SU-DHL-4
Venetoclax,M14
Tretinoin,JEKO-1
MK-2206,NCI-H3122
Venetoclax,SUP-T1
Motesanib,ECC10
Savolitinib,WM793B
Trametinib,MONO-MAC-6
Talazoparib,NUGC-3
Dihydrorotenone,H9
Selumetinib,CAL-27
Tanespimycin,A253
Vorinostat,NCI-H660
Teniposide,KU-19-19
Docetaxel,DOV13
Trametinib,SKM-1
Osimertinib,YKG-1
Paclitaxel,U-698-M
Docetaxel,CRO-AP2
Tanespimycin,KM-H2
Savolitinib,TK
Ribociclib,LS-1034
Cediranib,EPLC-272H
Savolitinib,KP-1N
Ibrutinib,G-MEL
Taselisib,COR-L105
Venetoclax,KCL-22
Dasatinib,NCC021
Pictilisib,HCC1806
Vinorelbine,MEG-01
Buparlisib,WSU-DLCL2
Bromosporine,CHP-212
Sinularin,NCI-H23
Bortezomib,KMRC-20
Sapitinib,PCI-6A
Docetaxel,EW-3
MK-2206,YH-13
Palbociclib,BB49-HNC
Refametinib,KU-19-19
Motesanib,NCI-H211
Ribociclib,SKM-1
Buparlisib,FLO-1
Dasatinib,HLE
Ibrutinib,PCI-6A
Vorinostat,no-10
Teniposide,EW-13
Vorinostat,CHP-134
Sinularin,HeLa
Trametinib,JHU-029
Vorinostat,NCC021
Afatinib,KASUMI-1
Refametinib,SW1417
Selumetinib,SNU-449
Ribociclib,JSC-1
Methotrexate,769-P
Methotrexate,MEG-01
Ipatasertib,NCI-H1648
Pictilisib,VA-ES-BJ
