,KYSE-270,KYSE-410,SW900,KMRC-1,Saos-2,SW620,SW780,HOS,T84,H2810,H2818,H513,UACC-812,HCC-366,U251,HCC1395,HCC1419,U-118-MG,TYK-nu,HD-MY-Z,HEC-1,HEL,HLE,HO-1-N-1,LB831-BLC,TE-9,HuO-3N1,IA-LM,JHH-4,MFE-319,LN-18,NCI-H2023,SJSA-1,NCI-H2087,SHP-77,NCI-H2228,NCI-H2342,NCI-H2405,NCI-H250,RO82-W-1,NCI-H596,RD,NCI-H196,NCI-H810,PL4,NY,PL18,PFSK-1,PEO1,OVCAR-3,OVCAR-4,OVKATE,OVTOKO,QGP-1,LCLC-97TM1,NCI-H1869,NCI-H1792,SW1573,SW1271,LOU-NH91,LU-139,LXF-289,M059J,MDA-MB-436,PANC-02-03,SNU-81,MN-60,MOG-G-CCM,NB1,NB7,NCC010,NCI-H1341,SKN-3,NCI-H1563,SKN,SK-UT-1,SK-N-AS,SNU-423,NCI-H2347,LS-1034,8505C,CP66-MEL,ECC12,COR-L95,EFO-21,AM-38,EGI-1,CS1,FU-OV-1,A253,CAL-62,ES-2,ES6,ESO26,CHL-1,A2058,769-P,CAS-1,5637,H-EMC-SS,Becker,DK-MG,EW-24,Ca-Ski,CaR-1,BxPC-3,639-V,FTC-133,D-392MG,DoTc2-4510,JIMT-1,KS-1,SK-N-FI,PCI-4B,CAL-85-1,SKG-IIIa,CAL-72,ETK-1,SBC-5,RERF-LC-KJ,CAL-120,JHH-2,C3A,SISO,PANC-10-05,SK-HEP-1,SK-MEL-5,SK-LMS-1,PWR-1E,H2461,LK-2,KYSE-180,Mo-T,DMS-114,NCI-H1651,NCI-H1666,NCI-H1793,MKN28,MFE-296,MFE-280,MES-SA,NCI-H2085,CW-2,NCI-H2135,CGTH-W-1,COR-L88,EFO-27,NCI-SNU-1,COLO-678,COLO-668,EN,OC-314,SNG-M,LB996-RCC,OV-90,KYSE-510,KYSE-450,COLO-792,SNU-182,HCC1143,U-266,HeLa,GCIY,HPAC,TGBC1TKB,TT,SW1783,HCC-44,TE-12,SW1417,HUTU-80,Hs-766T,ABC-1,HT-115,BE2-M17,WM1552C,HOP-62,WM278,HOP-92,HCT-15,SW872,TK10,TE-8,HDLM-2,TGBC11TKB,CHSA8926,HH,OVCAR-5,OVCAR-8,OVISE,TE-1,KYSE-150,LC-1-sq,ZR-75-30,A172,EJM,DMS-79,NCI-H1568,H3255,NCI-H1694,D-263MG,Capan-2,NCI-H1944,HCC-15,VM-CUB-1,ME-180,GCT,786-0,GB-1,NCI-H28,NCI-H520,HCC2218,NCI-H727,GAK,NCI-H835,LS-123,HPAF-II,MS-1,JHH-7,SCC-9,CA46,K-562,SW626,Ramos-2G6-4C10,RT-112,C2BBe1,C-4-I,Hep3B2-1-7,CAL-29,SK-MEL-1,Hey,HTC-C3,HuCCT1,BT-474,SW948,HuP-T3,A704,CAL-78,CAL-51,BICR10,HT-1080,COR-L23,MCF7,NCCIT,BFTC-905,NCI-H2452,SJRH30,MOG-G-UVW,UACC-257,NCI-H23,GOTO,DAN-G,IM-95,NCI-H1781,647-V,GP5d,VCaP,HCC-78,SW1463,BICR78,Caov-4,HuH-7,SK-N-SH,42-MG-BA,PC-3,BFTC-909,NCI-H64,SW982,HSC-4,KP-4,OVK-18,TC-71,KYSE-50,KNS-62,RCC-JW,RCM-1,FADU,CL-11,CL-34,COLO-829,CAL-33,CL-40,ES4,CADO-ES1,EW-16,TUR,KGN,A204,RF-48,RL95-2,FU97,NUGC-3,NCI-SNU-5,RPMI-7951,LP-1,WM793B,ONS-76,BHT-101,YT,NCI-H3122,YH-13,PSN1,ACHN,MSTO-211H,NCI-H1755,TE-6,SK-MEL-2,Calu-3,RERF-GC-1B,A549,COLO-824,22RV1,MDA-MB-231,KYAE-1,HCC1569,Detroit562,JHU-022,IST-MES1,ME-1,HSC-3,Hs746T,HCC1500,EFM-192A,H3118,GRANTA-519,MDA-MB-157,MFM-223,CAMA-1,KG-1,KYSE-220,AN3-CA,NOS-1,COLO-684,LU-135,MDST8,KP-N-YN,EW-13,Daoy,G-MEL,G-292-Clone-A141B1,NCI-H1975,LS-513,OACp4C,TE-4,A101D,MDA-MB-361,FLO-1,RPMI-8226,GMS-10,KCL-22,OE33,SAT,RKO,NCI-H1048,NCI-H1155,DMS-53,P31-FUJ,BT-549,A427,HCC1599,CCK-81,DG-75,A498,HSC-2,WM35,L-428,NCI-H524,COR-L279,NCI-H446,KATOIII,NCI-H720,NCI-H747,SIMA,Farage,K5,C-33-A,Hs-633T,JHH-1,OCI-AML5,OE19,ES5,OVMIU,NCI-H69,EMC-BAC-2,MDA-MB-330,HCC1806,TGW,Calu-6,H2795,HCC1187,REH,COR-L311,TE-15,GR-ST,KARPAS-422,SF539,NCI-H1623,CAL-27,EW-18,NCI-H1703,HT55,HCC70,MHH-PREB-1,NOMO-1,HARA,RERF-LC-Sq1,JJN-3,8-MG-BA,BT-20,SAS,DOV13,A375,RC-K8,EW-11,C32,LU-65,HMV-II,SNU-175,OVCA420,IHH-4,NCI-H1581,L-363,IGR-37,NB10,23132-87,BICR22,SNU-C1,CHP-134,COR-L32,Hs-578-T,G-361,SH-4,CPC-N,EFM-19,MEG-01,ECC10,G-402,EBC-1,KARPAS-45,AU565,NCI-H1993,NCI-H1963,EB-3,PC-14,TK,TOV-21G,HCC2998,COLO-679,HDQ-P1,SBC-3,KYSE-140,P30-OHK,SK-MM-2,Ca9-22,SLVL,HT-144,NCI-H847,A673,NCI-SNU-16,EB2,DMS-273,MKN45,NKM-1,MOLT-4,SW13,SUP-T1,UACC-893,OCUM-1,MDA-MB-415,H4,OACM5-1,HCT-116,TGBC24TKB,HCC1954,KARPAS-1106P,KELLY,UACC-62,HCC-827,SCC90,NCI-H211,M14,NCI-H2170,SU-DHL-8,EPLC-272H,NH-12,NEC8,KMOE-2,KU-19-19,HT-29,ESS-1,NCI-N87,EW-7,TC-YIK,PF-382,NCI-H82,SK-GT-2,SUP-HD1,SK-N-DZ,HC-1,MRK-nu-1,LOXIMVI,EW-1,DB,NCI-H322M,COR-L105,MLMA,LoVo,NCI-H526,ESO51,KYM-1,OPM-2,EC-GI-10,AGS,DIFI,MOLT-13,MDA-MB-468,DSH1,KARPAS-620,NB13,SNU-398,RH-1,BPH-1,KARPAS-299,Hs-445,HO-1-u-1,HL-60,SKM-1,SK-PN-DW,Daudi,RPMI-8866,NB12,KARPAS-231,LAMA-84,DND-41,SW48,LS-411N,L-540,HuO9,CAL-148,RH-41,MC-CAR,NCI-H1648,ES1,KASUMI-1,JiyoyeP-2003,NCI-H2122,SK-CO-1,EM-2,COLO-205,COLO-320-HSR,ST486,WSU-DLCL2,NCI-H716,EW-22,Raji,NB14,CCRF-CEM,IMR-5,IST-SL2,MOLP-8,WIL2-NS,LC4-1,OCI-AML3,MHH-CALL-2,NCI-H1876,ALL-SIL,HCC2157,U-698-M,NB(TU)1-10,KM12,CHP-212,BB49-HNC,SK-ES-1,EVSA-T,NCI-H209,HGC-27,VAL,H9,ES7,OCI-M1,OCI-AML2,MDA-MB-453,G-401,ES8,D-283MED,LOUCY,KMS-12-BM,RPMI-6666,JURL-MK1,MONO-MAC-6,RS4-11,SUP-B15,DOK,EW-3,DOHH-2,RPMI-8402,CAL-54,CESS,LNCaP-Clone-FGC,HSC-39,JSC-1,PA-1,HAL-01,L-1236,KU812,ARH-77,BE-13,ALL-PO,SCC-3,KY821,Jurkat,CTV-1,OCUB-M,SU-DHL-10,BL-41,GA-10,MM1S,GDM-1,IGROV-1,NB69,CAL-39,CML-T1,NAMALWA,P12-ICHIKAWA,A2780,DU-4475,ATN-1,BV-173,BC-1,NCI-H929,BALL-1,KOPN-8,AMO-1,IM-9,MOLT-16,P32-ISH,SU-DHL-6,KE-37,SUP-M2,EoL-1-cell,WSU-NHL,ML-2,NCI-H1417,A3-KAW,NALM-6,JVM-2,SR,697,JVM-3,A4-Fuk,MV-4-11,DEL,SU-DHL-5,MOLM-13
BI-2536,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBR-1532,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,
BMS-345541 free base,,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Bms-754807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buparlisib,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,,,,1.0,,,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1.0,,,,,,,,,,,0.0,,,1.0,,1.0,,,,,,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Camptothecin,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,0.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0
Capivasertib,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,1.0
Cediranib,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
Cisplatin,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,0.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0
Crizotinib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,
Cytarabine,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,,,0.0,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,
Dabrafenib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,0.0,,,,,,,,1.0,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,
