+------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+-------------+
| Rank |                                                                                                                                                     Drug Name                                                                                                                                                      | Target Name | Interaction | Probability |
| 1887 |                                                                                                [(1S,2S,4R)-4-[4-(2,3-Dihydro-1H-inden-1-ylamino)pyrrolo[2,3-d]pyrimidin-7-yl]-2-hydroxycyclopentyl]methyl sulfamate                                                                                                |   CRACR2A   |     YES     |     0.76    |
| 1888 |                                                                                                     1-(tert-Butyl)-3-(2-((4-(diethylamino)butyl)amino)-6-(3,5-dimethoxyphenyl)pyrido[2,3-d]pyrimidin-7-yl)urea                                                                                                     |     NRN1    |     YES     |     0.76    |
| 1889 |                                                                                                                                                    Methotrexate                                                                                                                                                    |   APBB1IP   |     YES     |     0.76    |
| 1890 |                                                                                                                                                1,9-Pyrazoloanthrone                                                                                                                                                |   APBB1IP   |     YES     |     0.76    |
| 1891 |                                                                                                                                                 Megestrol acetate                                                                                                                                                  |    PRDX1    |     YES     |     0.76    |
| 1892 |                                                                                                                                                     Luminespib                                                                                                                                                     |     NRN1    |     YES     |     0.76    |
| 1893 |                                                                                                                                            Fluorocyclopentenylcytosine                                                                                                                                             |    LITAF    |     YES     |     0.76    |
| 1894 |                                                                                                                                                      Acivicin                                                                                                                                                      |     BST2    |     YES     |     0.76    |
| 1895 |                                                                                                        (R)-8-(1-((3,5-difluorophenyl)amino)ethyl)-N,N-dimethyl-2-morpholino-4-oxo-4H-chromene-6-carboxamide                                                                                                        |     ETS1    |     YES     |     0.76    |
| 1896 |                                                                                                                                                Morpholinoadriamycin                                                                                                                                                |  TNFRSF12A  |     YES     |     0.76    |
| 1897 |                                                                                                                      6-Fluoro-5-(2-hydroxy-ethoxy)-3-(1H-pyrrol-2-yl)-1H-benzo[cd]indol-2-one                                                                                                                      |   APBB1IP   |     YES     |     0.75    |
| 1898 |                                                                                                                                                     Dactolisib                                                                                                                                                     |     RRAS    |     YES     |     0.75    |
| 1899 |                                                                                                               2-[2-(2-Methoxy-phenyl)-ethylamino]-5-[1-quinolin-6-yl-meth-(z)-ylidene]-thiazol-4-one                                                                                                               |   APBB1IP   |     YES     |     0.75    |
| 1900 |                                                                                                           (S)-N-(4-amino-6-methyl-5-(quinolin-3-yl)-8,9-dihydropyrimido[5,4-b]indolizin-8-yl)acrylamide                                                                                                            |    AJUBA    |     YES     |     0.75    |
| 1901 |                                                                                                                                                     Raloxifene                                                                                                                                                     |    TMEM47   |     YES     |     0.75    |
| 1902 |                                                                                                                                                 Megestrol acetate                                                                                                                                                  |     TJP1    |     YES     |     0.75    |
| 1903 |                                                                                                                                        Aphidicolin glycinate, hydrochloride                                                                                                                                        |    HMGCR    |     YES     |     0.75    |
| 1904 |                                                                                                              (5Z)-2-[2-(2-chlorophenyl)ethylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                              |    IFI16    |     YES     |     0.75    |
| 1905 |                                                                                                                      6-Fluoro-5-(2-hydroxy-ethoxy)-3-(1H-pyrrol-2-yl)-1H-benzo[cd]indol-2-one                                                                                                                      |     BST2    |     YES     |     0.75    |
| 1906 |                                                                                                                                                   Chlorozotocin                                                                                                                                                    |     RPL3    |     YES     |     0.75    |
| 1907 |                                                                                                                                                    Azacitidine                                                                                                                                                     |    DNMT1    |     YES     |     0.75    |
| 1908 |                                                                                                                                                 Megestrol acetate                                                                                                                                                  |     RPL3    |     YES     |     0.75    |
| 1909 |                                                                                                                                                 Bardoxolone methyl                                                                                                                                                 |    HMGCR    |     YES     |     0.75    |
| 1910 |                                                                                                                N-(4-((2-amino-6-methylpyrimidin-4-yl)amino)phenyl)-4-(quinolin-4-ylamino)benzamide                                                                                                                 |   APBB1IP   |     YES     |     0.75    |
| 1911 |                                                                                                                                                     Taselisib                                                                                                                                                      |     BST2    |     YES     |     0.75    |
| 1912 |                                                                                                                                                    Entrectinib                                                                                                                                                     |    ZBTB38   |     YES     |     0.75    |
| 1913 |                                                                                                                                                      MK-2206                                                                                                                                                       |     NRN1    |     YES     |     0.75    |
| 1914 |                                                                                                                                                     Perifosine                                                                                                                                                     |     MIF     |     YES     |     0.75    |
| 1915 |                                                                                                                                                    CID 90331177                                                                                                                                                    |     MIF     |     YES     |     0.75    |
| 1916 |                                                                                                                                               Oxyphenisatin acetate                                                                                                                                                |     APP     |     YES     |     0.75    |
| 1917 |                                                                                                                                               Oxyphenisatin acetate                                                                                                                                                |     APP     |     YES     |     0.75    |
| 1918 |                                                                                                                                   Camptothecin-20-O-(N,N-dimethyl)glycinate HCl                                                                                                                                    |     MSN     |     YES     |     0.75    |
| 1919 |                                                                                                        [4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl](2-fluoro-6-methoxyphenyl)methanone                                                                                                         |    ELOVL5   |     YES     |     0.75    |
| 1920 |                                                                                                                                                      Curcumin                                                                                                                                                      |    ITGB5    |     YES     |     0.75    |
| 1921 |                                                                                                                                                     Triazinate                                                                                                                                                     |     BAX     |     YES     |     0.75    |
| 1922 |                                                                                                      [4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl](4,5-difluoro-2-methoxyphenyl)methanone                                                                                                       |    MCTP1    |     YES     |     0.75    |
| 1923 |                                                                                         (3Z)-5-fluoro-4-[(3R)-4-hydroxy-3-(methylamino)but-1-yn-1-yl]-3-[(3-methoxy-1H-pyrrol-2-yl)methylidene]-2,3-dihydro-1H-indol-2-one                                                                                         |    HMGCR    |     YES     |     0.74    |
| 1924 |                                                                                                                  Methyl 3-[4-(4-chlorophenyl)sulfonyl-4-(2,5-difluorophenyl)cyclohexyl]propanoate                                                                                                                  |     MIF     |     YES     |     0.74    |
| 1925 |                                                                                                                            N-(2-aminophenyl)-4-{1-[(benzylamino)methyl]vinyl}benzamide                                                                                                                             |    IFI16    |     YES     |     0.74    |
| 1926 |                                                                                                                                                     Motesanib                                                                                                                                                      |     BAX     |     YES     |     0.74    |
| 1927 |                                                                                                                                                    Zotiraciclib                                                                                                                                                    |    TMEM47   |     YES     |     0.74    |
| 1928 |                                                                                            3-(4-(4-(2-(3-((dimethylamino)methyl)phenyl)-1H-pyrrolo[2,3-b]pyridin-4-yl)-1-ethyl-1H-pyrazol-3-yl)phenyl)-1,1-dimethylurea                                                                                            |   SLC43A3   |     YES     |     0.74    |
| 1929 |                                                                                         4-((3R,4S,5R)-4-Amino-3,5-dihydroxy-hex-1-ynyl)-5-fluoro-3-[1-(3-methoxy-1H-pyrrol-2-YL)-meth-(Z)-ylidene]-1,3-dihydro-indol-2-one                                                                                         |   APBB1IP   |     YES     |     0.74    |
| 1930 |                                                                                                                                             Tyrosine kinase inhibitor                                                                                                                                              |   COL12A1   |     YES     |     0.74    |
| 1931 |                                                                                                         3-Carboxy-2,5-dimethyl-1H-pyrrol-2-ylmethylene)-5-(1H-indol-2-yl)-3-methoxy-2H-pyrrolium, tartrate                                                                                                         |     ZEB2    |     YES     |     0.74    |
| 1932 |                                                                                                        [4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl](5-fluoro-2-methoxyphenyl)methanone                                                                                                         |    MCTP1    |     YES     |     0.74    |
| 1933 |                                                                                                                                                     Dactolisib                                                                                                                                                     |    RRAS2    |     YES     |     0.74    |
| 1934 |                                                                                                          5-(3-Phenylmethoxyphenyl)-7-[3-(pyrrolidin-1-ylmethyl)cyclobutyl]pyrrolo[2,3-d]pyrimidin-4-amine                                                                                                          |   APBB1IP   |     YES     |     0.74    |
| 1935 |                                                                                                                            1H-Pyrano[3',7]indolizino[1,2-b]quinoline,pyridinium deriv.                                                                                                                             |   SLC43A3   |     YES     |     0.74    |
| 1936 |                                                                                                                                               Itraconazolum [Latin]                                                                                                                                                |    PRKAG2   |     YES     |     0.74    |
| 1937 |                                                                                                                                                    Ellipticine                                                                                                                                                     |    HMGCR    |     YES     |     0.74    |
| 1938 |                                                                                                                                                9-Aminocamptothecin                                                                                                                                                 |     SPP1    |     YES     |     0.74    |
| 1939 |                                                                                                                                              9-Amino-20-camptothecin                                                                                                                                               |     SPP1    |     YES     |     0.74    |
| 1940 |                                                                                                             (R,Z)-5-((2-(3-aminopiperidin-1-yl)-[1,1'-biphenyl]-3-yl)methylene)thiazolidine-2,4-dione                                                                                                              |     TJP1    |     YES     |     0.74    |
| 1941 |                                                                                                                                                  Unii-6lgr0ryy5Q                                                                                                                                                   |   ARHGAP29  |     YES     |     0.74    |
| 1942 |                                                                                                                                          From marine animal, Axinella sp.                                                                                                                                          |     BNC2    |     YES     |     0.73    |
| 1943 |                                                                                                                            N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide                                                                                                                             |     APP     |     YES     |     0.73    |
| 1944 |                                                                                                                                                    Zotiraciclib                                                                                                                                                    |    MCTP1    |     YES     |     0.73    |
| 1945 |                                                                                                              (5Z)-2-[(2-chlorophenyl)methylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                               |    IFI16    |     YES     |     0.73    |
| 1946 |                                                                                                        2-methyl-1-(2-methyl-3-(trifluoromethyl)benzyl)-6-morpholino-1H-benzo[d]imidazole-4-carboxylic acid                                                                                                         |   SLC43A3   |     YES     |     0.73    |
| 1947 |                                                                                                                           N-(3,5-bis(trifluoromethyl)phenyl)-5-chloro-2-hydroxybenzamide                                                                                                                           |    HMGCR    |     YES     |     0.73    |
| 1948 |                                                                                                                                                     Vismodegib                                                                                                                                                     |    PSMB8    |     YES     |     0.73    |
| 1949 |                                                                                                                       N-(2-Aminophenyl)-4-{1-[(9-oxoacridin-10(9H)-yl)methyl]vinyl}benzamide                                                                                                                       |    ABLIM1   |     YES     |     0.73    |
| 1950 |                                                                                                  (Z)-1,3-Dihydro-5-fluoro-4-[3-(N-methylamino)-1-propynyl]-3-[(3-methoxy-1H-pyrrol-2-yl)methylene]-2H-indol-2-one                                                                                                  |   SLC43A3   |     YES     |     0.73    |
| 1951 |                                                                                                                   5-Amino-1-(4-fluorophenyl)-4-[3-(3-morpholin-4-ylprop-1-ynyl)benzoyl]pyrazole                                                                                                                    |    TMEM47   |     YES     |     0.73    |
| 1952 |                                                                                                                   2-(4-(1-Aminocyclobutyl)phenyl)-3-phenylimidazo[1,2-b]pyridazine-6-carboxamide                                                                                                                   |    ELOVL5   |     YES     |     0.73    |
| 1953 |                                                                                                                                                    Pilaralisib                                                                                                                                                     |    PTBP1    |     YES     |     0.73    |
| 1954 |                                                                                                                                                    mitomycin C                                                                                                                                                     |    HMGCR    |     YES     |     0.73    |
| 1955 |                                                                                        [(6R,7S,8R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate                                                                                         |    HMGCR    |     YES     |     0.73    |
| 1956 |                                                                                                                                               Pharmakon1600-01500903                                                                                                                                               |    ITGB3    |     YES     |     0.73    |
| 1957 |                                                                                                                                            Bleomycin pep-CU (formerly)                                                                                                                                             |    EPAS1    |     YES     |     0.73    |
| 1958 |                                                                                                                                9H-Purine, 6-amino-9-(3-deoxy-beta-D-ribofuranosyl)-                                                                                                                                |   SLC43A3   |     YES     |     0.73    |
| 1959 |                                                                                                                                                    Veham-Sandoz                                                                                                                                                    |    SNAI2    |     YES     |     0.73    |
| 1960 |                                                                                                             5-(2-Fluorophenyl)-3-methyl-2,10-dihydropyrazolo[3,4-b][1,4]benzodiazepine-7-carbonitrile                                                                                                              |   SLC43A3   |     YES     |     0.73    |
| 1961 |                                                                                                                                               10-Hydroxycamptothecin                                                                                                                                               |   SLC43A3   |     YES     |     0.73    |
| 1962 |                                                                                                                                                     Foretinib                                                                                                                                                      |    RBM24    |     YES     |     0.73    |
| 1963 |                                                                                                                                    Pyrazolo[4,3-h]quinazoline-3-carboxamide, 29                                                                                                                                    |   SLC43A3   |     YES     |     0.73    |
| 1964 |                                                                                                                                                      Amsalog                                                                                                                                                       |   SLC43A3   |     YES     |     0.73    |
| 1965 |                                                                                                                                                     Canertinib                                                                                                                                                     |   SLC43A3   |     YES     |     0.73    |
| 1966 |                                                                                4-Methyl-1-(1h-Pyrazol-4-Ylmethyl)-5-[(4-{[6-(2,2,2-Trifluoroethyl)thieno[2,3-D]pyrimidin-4-Yl]amino}piperidin-1-Yl)methyl]-1h-Indole-2-Carbonitrile                                                                                |     TJP1    |     YES     |     0.73    |
| 1967 |                                                                                                                            1H-Pyrano[3',7]indolizino[1,2-b]quinoline,pyridinium deriv.                                                                                                                             |     SPP1    |     YES     |     0.73    |
| 1968 |                                              2-amino-N-[(Z)-[(19S)-19-ethyl-19-hydroxy-14,18-dioxo-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaen-10-yl]methylideneamino]-3-(4-hydroxyphenyl)propanamide;hydrochloride                                              |     FAR2    |     YES     |     0.73    |
| 1969 |                                                                                                                                                     DTIC-Dome                                                                                                                                                      |    POLA2    |     YES     |     0.73    |
| 1970 |                                                                                                                                                   Entospletinib                                                                                                                                                    |     EZR     |     YES     |     0.73    |
| 1971 |                                                                                                                                                     Brigatinib                                                                                                                                                     |    IGF1R    |     YES     |     0.73    |
| 1972 |                                                                                                                                                  Colchicine deriv                                                                                                                                                  |    PTBP1    |     YES     |     0.73    |
| 1973 |                                                                                                                        (S)-1-(4-(1H-Pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethanol                                                                                                                         |     CD24    |     YES     |     0.72    |
| 1974 |                                                                                                                                                      Gdc-0152                                                                                                                                                      |    AJUBA    |     YES     |     0.72    |
| 1975 |                                                                                                                                                 Brivanib alaninate                                                                                                                                                 |    MCTP1    |     YES     |     0.72    |
| 1976 |                                                                                                                                             Bendamustine hydrochloride                                                                                                                                             |     SPP1    |     YES     |     0.72    |
| 1977 |                                                                                                                                                     Docetaxel                                                                                                                                                      |    SNAI2    |     YES     |     0.72    |
| 1978 |                                                                                                                                                    Palbociclib                                                                                                                                                     |   SLC43A3   |     YES     |     0.72    |
| 1979 |                                                                                                                                                 Bardoxolone methyl                                                                                                                                                 |    NFKBIA   |     YES     |     0.72    |
| 1980 |                                                                                                                                                     Irofulven                                                                                                                                                      |    FUBP1    |     YES     |     0.72    |
| 1981 |                                                                                                                                                    Bet-bay 002                                                                                                                                                     |     BST2    |     YES     |     0.72    |
| 1982 |                                                                                                                                                     Debio-1347                                                                                                                                                     |     BAX     |     YES     |     0.72    |
| 1983 |                                                                                                                        5-(6-Amino-2-chloro-9-purinyl)-4-fluoro-2-(hydroxymethyl)-3-oxolanol                                                                                                                        |     RPL3    |     YES     |     0.72    |
| 1984 |                                                                                                                                               Pharmakon1600-01502269                                                                                                                                               |     RPL3    |     YES     |     0.72    |
| 1985 |                                                                                                                    1,3,5-Triazin-2(1H)-one, 4-amino-1-(2-deoxy-beta-D-erythro-pentofuranosyl)-                                                                                                                     |    RPS4Y1   |     YES     |     0.72    |
| 1986 |                                                                                                                                                    Spiromustine                                                                                                                                                    |     BST2    |     YES     |     0.72    |
| 1987 |                                                                                                                                                    Carbendazim                                                                                                                                                     |   IGLV1-44  |     YES     |     0.72    |
| 1988 |                                                                                                                                                    Entrectinib                                                                                                                                                     |     JAK2    |     YES     |     0.72    |
| 1989 |                                                                                                                                                     Triptolide                                                                                                                                                     |     BAX     |     YES     |     0.72    |
| 1990 |                                                                                                           4-(4-fluoro-2-methoxyphenyl)-N-(3-((S-methylsulfonimidoyl)methyl)phenyl)-1,3,5-triazin-2-amine                                                                                                           |   CRACR2A   |     YES     |     0.72    |
| 1991 |                                                                               [(1S,4S,7R,10S,12R)-4-acetyloxy-1,9,12,15-tetrahydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate                                                                                |    TMEM47   |     YES     |     0.72    |
| 1992 |                                                                                                             4-(4-cyano-2-fluorophenyl)-2-morpholino-5-(1H-1,2,4-triazol-5-yl)thiophene-3-carbonitrile                                                                                                              |     BAX     |     YES     |     0.72    |
| 1993 |                                                                                                              (5Z)-2-[2-(4-chlorophenyl)ethylimino]-5-(quinolin-6-ylmethylidene)-1,3-thiazolidin-4-one                                                                                                              |    ANXA6    |     YES     |     0.72    |
| 1994 |                                                                                                                             1H-Pyrano[3',7]indolizino[1,2-b]quinoline,cysteine deriv.                                                                                                                              |     SPP1    |     YES     |     0.72    |
| 1995 |                                                                                                                                  9-Glycinamido-20(RS)-camptothecin hydrochloride                                                                                                                                   |   SLC43A3   |     YES     |     0.72    |
| 1996 |                                                                                                                            N-(2-aminophenyl)-4-{1-[(benzylamino)methyl]vinyl}benzamide                                                                                                                             |     SPP1    |     YES     |     0.71    |
| 1997 |                                                                                                                                                    Calusterone                                                                                                                                                     |   ARHGAP29  |     YES     |     0.71    |
| 1998 |                                                                                                                                                     Indibulin                                                                                                                                                      |    ABLIM1   |     YES     |     0.71    |
| 1999 |                                                                                                                            5-(6-Amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol                                                                                                                             |    TUBA1B   |     YES     |     0.71    |
| 2000 |                                                                                                                                     9-Methoxy-2-methyl-1,2-dihydroellipticine                                                                                                                                      |   ARHGAP29  |     YES     |     0.71    |
| 2001 |                                                                                                             N-[2-chloro-5-[4-(3-chloro-4-fluoroanilino)quinazolin-6-yl]pyridin-3-yl]methanesulfonamide                                                                                                             |     SPP1    |     YES     |     0.71    |
| 2002 |                                                                                                                                                    Calusterone                                                                                                                                                     |     ETS1    |     YES     |     0.71    |
| 2003 |                                                                                                                                                     Luminespib                                                                                                                                                     |    HMGCR    |     YES     |     0.71    |
| 2004 |                                                                                                                                                   Chlorozotocin                                                                                                                                                    |     SDC4    |     YES     |     0.71    |
| 2005 |                                                                                                                                                     Pexmetinib                                                                                                                                                     |   ADAMTS1   |     YES     |     0.71    |
| 2006 |                                                                                                                                                     Vepesid J                                                                                                                                                      |     BAX     |     YES     |     0.71    |
| 2007 |                                                                                                                                               Pharmakon1600-01500903                                                                                                                                               |     BAX     |     YES     |     0.71    |
| 2008 |                                                                                                                                                  Marinopyrrole A                                                                                                                                                   |   SLC43A3   |     YES     |     0.71    |
| 2009 |                                                                                                                                                     Pimasertib                                                                                                                                                     |     NRN1    |     YES     |     0.71    |
| 2010 |                                                                                               4,5,6,7-Tetrahydro-11-methoxy-2-((4-methyl-1-piperazinyl)methyl)-1H-cyclopenta(a)pyrrolo(3,4-C)carbazole-1,3(2H)-dione                                                                                               |    TMEM47   |     YES     |     0.71    |
| 2011 |                                                                                                                                                   Acalabrutinib                                                                                                                                                    |    PCBD1    |     YES     |     0.71    |
