,Term,Adjusted P-value,Genes,drug
0,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,364830
1,E2F Targets,0.00015100327452805296,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,364830
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,364830
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,364830
4,Xenobiotic Metabolism,0.0041576445857644,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,364830
5,UV Response Dn,0.005364347122397,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,364830
6,PI3K/AKT/mTOR  Signaling,0.0111950678776693,MAP2K3;LCK;CDK1;EGFR,364830
7,G2-M Checkpoint,0.0123887890362058,PLK4;CHEK1;CDK1;TTK;MAPK14,364830
8,Estrogen Response Late,0.0123887890362058,PLK4;RET;CA2;PGR;HPRT1,364830
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,364830
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,364830
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,364830
0,Allograft Rejection,0.0126757456883062,SIT1;IL1B;IL2RG;CD3E;CD3D;ELANE,365798
1,Epithelial Mesenchymal Transition,0.0276985120728179,SFRP4;COL3A1;MMP1;MGP;MMP3,365798
2,KRAS Signaling Up,0.0276985120728179,SERPINA3;IL1B;ALDH1A2;TSPAN7;IL2RG,365798
0,Complement,0.002365393597604,CA2;CTSL;LCK;FDX1;PRKCD;CTSS;PIK3CG,366140
1,UV Response Up,0.0025719771377026,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,366140
2,Allograft Rejection,0.0045632684477902,MAP4K1;ITK;ZAP70;LCK;ITGAL;CTSS,366140
3,KRAS Signaling Up,0.0045632684477902,MAP4K1;CA2;TLR8;PTGS2;EPHB2;CTSS,366140
4,UV Response Dn,0.0056521901387208,PDGFRB;ERBB2;KIT;PIK3CD;MAPK14,366140
0,Epithelial Mesenchymal Transition,0.0131827755158384,COL3A1;COL1A2;MMP1;MGP;MMP3;BGN,368390
1,Allograft Rejection,0.0432096788335959,SIT1;CD7;IL2RG;CD3E;ELANE,368390
0,Allograft Rejection,0.001774045198203,SIT1;IL1B;CD7;IL2RG;CD3E;CD3D;ELANE,369100
1,Epithelial Mesenchymal Transition,0.0299143930386433,COL3A1;MMP1;MGP;MMP3;BGN,369100
2,KRAS Signaling Up,0.0299143930386433,SERPINA3;FCER1G;IL1B;TLR8;IL2RG,369100
0,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PIM1;FYN;RAF1;CTSS,369395
1,E2F Targets,0.00015100327452805296,WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,369395
2,PI3K/AKT/mTOR  Signaling,0.00019806831946740357,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,369395
3,G2-M Checkpoint,0.0005387840972320382,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,369395
4,Allograft Rejection,0.0005387840972320382,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,369395
5,UV Response Up,0.000976398728201914,KCNH2;RET;CA2;PPAT;NTRK3;HSPA2,369395
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,369395
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,369395
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,369395
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,369395
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,369395
11,Mitotic Spindle,0.0411670115193881,CDK1;NEK2;TTK;AURKA,369395
12,IL-2/STAT5 Signaling,0.0411670115193881,CA2;PIM1;AHR;HIPK2,369395
13,TNF-alpha Signaling via NF-kB,0.0411670115193881,MAP2K3;PLK2;SIK1;PTGS2,369395
14,Estrogen Response Late,0.0411670115193881,RET;CA2;PGR;HPRT1,369395
15,Myc Targets V1,0.0411670115193881,HDAC2;CDK4;RUVBL2;HPRT1,369395
16,Inflammatory Response,0.0411670115193881,AXL;LCK;AHR;RAF1,369395
17,Glycolysis,0.0411670115193881,CDK1;MERTK;EGFR;AURKA,369395
0,UV Response Up,5.108590397701058e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,374028
1,Complement,9.821351188816454e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,374028
2,E2F Targets,9.821351188816454e-05,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,374028
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,374028
4,G2-M Checkpoint,0.0033495748004159,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,374028
5,Xenobiotic Metabolism,0.0033495748004159,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,374028
6,Spermatogenesis,0.0033495748004159,CDK1;NEK2;TTK;HSPA2;AURKA,374028
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,374028
8,PI3K/AKT/mTOR  Signaling,0.0084949024546,TBK1;LCK;CDK1;EGFR,374028
9,Apical Junction,0.0120866234499569,KCNH2;SYK;CDH11;MAPK14;EGFR,374028
10,KRAS Signaling Up,0.0120866234499569,MAP4K1;CA2;PTGS2;EPHB2;CTSS,374028
11,DNA Repair,0.0227726054065545,POLE4;LIG1;HPRT1;ADA,374028
12,Androgen Response,0.0425284856383501,STK39;PTK2B;MERTK,374028
13,Mitotic Spindle,0.0451833053261577,CDK1;NEK2;TTK;AURKA,374028
14,Estrogen Response Late,0.0451833053261577,RET;CA2;PGR;HPRT1,374028
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,374028
0,E2F Targets,1.9265539869814556e-05,PLK4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK;AURKA,374551
1,PI3K/AKT/mTOR  Signaling,1.9265539869814556e-05,MAP2K3;CDK4;LCK;CSNK2B;RPS6KA1;CDK1;EGFR,374551
2,G2-M Checkpoint,7.36601339161234e-05,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,374551
3,Complement,7.36601339161234e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,374551
4,UV Response Up,0.0001163354303908654,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,374551
5,Allograft Rejection,0.0004380358514081612,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,374551
6,Apical Junction,0.0025351491376612,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,374551
7,Xenobiotic Metabolism,0.0025351491376612,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,374551
8,Spermatogenesis,0.0026052248447679,CDK1;NEK2;TTK;HSPA2;AURKA,374551
9,UV Response Dn,0.0031401056326226,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,374551
10,Myc Targets V2,0.0102271429191943,PLK4;CDK4;MAP3K6,374551
11,Estrogen Response Late,0.0102271429191943,PLK4;RET;CA2;PGR;HPRT1,374551
12,KRAS Signaling Up,0.0102271429191943,MAP4K1;CA2;PTGS2;EPHB2;CTSS,374551
13,Androgen Response,0.0394907366641822,STK39;PTK2B;MERTK,374551
14,Mitotic Spindle,0.0401629380676957,CDK1;NEK2;TTK;AURKA,374551
15,TNF-alpha Signaling via NF-kB,0.0401629380676957,MAP2K3;PLK2;SIK1;PTGS2,374551
16,Myc Targets V1,0.0401629380676957,HDAC2;CDK4;RUVBL2;HPRT1,374551
17,Glycolysis,0.0401629380676957,CDK1;MERTK;EGFR;AURKA,374551
0,Allograft Rejection,0.0017083398204918,CD8B;SIT1;IL1B;CD7;IL2RG;CD3E;ELANE,409962
1,Epithelial Mesenchymal Transition,0.0065913877579192,SFRP4;COL3A1;MMP1;MGP;MMP3;BGN,409962
2,KRAS Signaling Up,0.0288064525557306,SERPINA3;IL1B;ALDH1A2;TSPAN7;IL2RG,409962
0,Allograft Rejection,0.0126757456883062,SIT1;IL1B;CD7;IL2RG;CD3E;ELANE,526598
1,Epithelial Mesenchymal Transition,0.0415477681092269,COL3A1;MMP1;MGP;MMP3;BGN,526598
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,603071
1,G2-M Checkpoint,0.00010066884968536863,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,603071
2,E2F Targets,0.00010066884968536863,PLK4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,603071
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,603071
4,UV Response Up,0.0011716784738422,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,603071
5,PI3K/AKT/mTOR  Signaling,0.0012552539342791,CDK4;LCK;CDK1;RAF1;EGFR,603071
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,603071
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,603071
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,603071
9,Mitotic Spindle,0.0104828214921741,CDK1;NEK2;TTK;MARK4;AURKA,603071
10,Estrogen Response Late,0.0104828214921741,PLK4;RET;CA2;PGR;HPRT1,603071
11,Apical Junction,0.0104828214921741,KCNH2;SYK;CDH11;MAPK14;EGFR,603071
12,KRAS Signaling Up,0.0104828214921741,MAP4K1;CA2;PTGS2;EPHB2;CTSS,603071
13,Androgen Response,0.0404780050807868,STK39;PTK2B;MERTK,603071
14,IL-2/STAT5 Signaling,0.0411670115193881,CA2;PIM1;AHR;HIPK2,603071
15,Myc Targets V1,0.0411670115193881,HDAC2;CDK4;RUVBL2;HPRT1,603071
16,Inflammatory Response,0.0411670115193881,AXL;LCK;AHR;RAF1,603071
17,Glycolysis,0.0411670115193881,CDK1;MERTK;EGFR;AURKA,603071
0,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,603074
1,E2F Targets,0.00015100327452805296,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,603074
2,Allograft Rejection,0.0008979734953867304,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,603074
3,UV Response Up,0.0014645980923028,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,603074
4,PI3K/AKT/mTOR  Signaling,0.0015063047211349,MAP2K3;CDK4;LCK;CDK1;EGFR,603074
5,G2-M Checkpoint,0.0029697461326888,CDK4;CHEK1;CDK1;TTK;MAPK14;AURKA,603074
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,603074
7,UV Response Dn,0.0040232603417978,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,603074
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,603074
8,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,603074
10,Spermatogenesis,0.0176014257728361,CDK1;TTK;HSPA2;AURKA,603074
11,DNA Repair,0.0233419205417183,POLE4;POLB;HPRT1;ADA,603074
12,Apoptosis,0.0275106714508529,PDGFRB;PAK1;WEE1;ERBB2,603074
17,Myc Targets V1,0.0390003267025782,HDAC2;CDK4;RUVBL2;HPRT1,603074
13,Androgen Response,0.0390003267025782,STK39;PTK2B;MERTK,603074
14,IL-2/STAT5 Signaling,0.0390003267025782,CA2;PIM1;AHR;HIPK2,603074
15,TNF-alpha Signaling via NF-kB,0.0390003267025782,MAP2K3;PLK2;SIK1;PTGS2,603074
16,Estrogen Response Late,0.0390003267025782,RET;CA2;PGR;HPRT1,603074
18,Glycolysis,0.0390003267025782,CDK1;MERTK;EGFR;AURKA,603074
0,Complement,2.530659690179851e-06,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS;PIK3CG,603076
1,PI3K/AKT/mTOR  Signaling,0.00019389238398477565,MAP2K3;LCK;CSNK2B;CDK1;RAF1;EGFR,603076
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,603076
3,Allograft Rejection,0.0006570537771122417,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,603076
4,E2F Targets,0.0040562386202579,POLE4;WEE1;MELK;CHEK1;CDK1;DCK,603076
5,UV Response Dn,0.0052335093877044,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,603076
6,Apical Junction,0.0147725397721695,KCNH2;SYK;CDH11;MAPK14;EGFR,603076
7,Xenobiotic Metabolism,0.0147725397721695,ALDH2;CA2;AKR1C3;HPRT1;ESR1,603076
8,KRAS Signaling Up,0.0147725397721695,MAP4K1;CA2;PTGS2;EPHB2;CTSS,603076
0,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,603077
1,E2F Targets,0.00015100327452805296,POLE4;WEE1;MELK;LIG1;CDK4;CHEK1;CDK1;DCK,603077
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,603077
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,603077
4,PI3K/AKT/mTOR  Signaling,0.0015063047211349,MAP2K3;CDK4;LCK;CDK1;EGFR,603077
5,G2-M Checkpoint,0.0029697461326888,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14,603077
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,603077
7,UV Response Dn,0.0040232603417978,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,603077
8,Apical Junction,0.0136276679398264,KCNH2;SYK;CDH11;MAPK14;EGFR,603077
9,KRAS Signaling Up,0.0136276679398264,MAP4K1;CA2;PTGS2;EPHB2;CTSS,603077
10,Spermatogenesis,0.0176014257728361,CDK1;NEK2;TTK;HSPA2,603077
11,DNA Repair,0.0233419205417183,POLE4;LIG1;HPRT1;ADA,603077
12,Androgen Response,0.0435916977793088,STK39;PTK2B;MERTK,603077
13,TNF-alpha Signaling via NF-kB,0.0463128879593117,MAP2K3;PLK2;SIK1;PTGS2,603077
14,Estrogen Response Late,0.0463128879593117,RET;CA2;PGR;HPRT1,603077
15,Myc Targets V1,0.0463128879593117,HDAC2;CDK4;RUVBL2;HPRT1,603077
0,Allograft Rejection,0.0136898053433707,SIT1;CD7;IL2RG;CD3E;CD3D;ELANE,606170
1,Epithelial Mesenchymal Transition,0.0299143930386433,COL3A1;MMP1;MGP;MMP3;BGN,606170
2,KRAS Signaling Up,0.0299143930386433,SERPINA3;ABCB1;FCER1G;TSPAN7;IL2RG,606170
0,Complement,2.898452351012945e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,606172
1,PI3K/AKT/mTOR  Signaling,0.00019389238398477565,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,606172
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,606172
3,G2-M Checkpoint,0.0004380358514081612,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,606172
4,E2F Targets,0.0004380358514081612,WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,606172
5,Allograft Rejection,0.0004380358514081612,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606172
6,Xenobiotic Metabolism,0.0028973133001842,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606172
7,Spermatogenesis,0.0029308779503639,CDK1;NEK2;TTK;HSPA2;AURKA,606172
8,UV Response Dn,0.0034890062584696,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606172
9,Apical Junction,0.0120866234499569,KCNH2;SYK;CDH11;MAPK14;EGFR,606172
10,KRAS Signaling Up,0.0120866234499569,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606172
11,Androgen Response,0.0401629380676957,STK39;PTK2B;MERTK,606172
12,Mitotic Spindle,0.0401629380676957,CDK1;NEK2;TTK;AURKA,606172
13,TNF-alpha Signaling via NF-kB,0.0401629380676957,MAP2K3;PLK2;SIK1;PTGS2,606172
14,Estrogen Response Late,0.0401629380676957,RET;CA2;PGR;HPRT1,606172
15,Myc Targets V1,0.0401629380676957,HDAC2;CDK4;RUVBL2;HPRT1,606172
16,Inflammatory Response,0.0401629380676957,AXL;LCK;AHR;RAF1,606172
17,Glycolysis,0.0401629380676957,CDK1;MERTK;EGFR;AURKA,606172
0,Complement,2.4904378188792658e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,606173
1,UV Response Up,2.4904378188792658e-05,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;TYRO3;HSPA2,606173
2,E2F Targets,0.0006406274326844358,WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,606173
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606173
4,G2-M Checkpoint,0.0032658354304055,CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,606173
5,Xenobiotic Metabolism,0.0032658354304055,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606173
6,Spermatogenesis,0.0032658354304055,CDK1;NEK2;TTK;HSPA2;AURKA,606173
7,UV Response Dn,0.0038270037397588,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606173
8,Apical Junction,0.0129629036500787,KCNH2;SYK;CDH11;MAPK14;EGFR,606173
9,KRAS Signaling Up,0.0129629036500787,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606173
10,Androgen Response,0.046990637539204,STK39;PTK2B;MERTK,606173
11,PI3K/AKT/mTOR  Signaling,0.046990637539204,LCK;CDK1;EGFR,606173
12,Mitotic Spindle,0.046990637539204,CDK1;NEK2;TTK;AURKA,606173
13,Estrogen Response Late,0.046990637539204,RET;CA2;PGR;HPRT1,606173
14,Glycolysis,0.046990637539204,CDK1;MERTK;EGFR;AURKA,606173
0,E2F Targets,2.9709136597882687e-05,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,606497
1,Complement,0.00015100327452805296,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,606497
2,UV Response Up,0.00019873969358439505,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,606497
3,Allograft Rejection,0.0006734801215400478,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606497
4,G2-M Checkpoint,0.0034647038214703,PLK4;CHEK1;CDK1;TTK;MAPK14;AURKA,606497
5,Xenobiotic Metabolism,0.0034647038214703,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606497
6,UV Response Dn,0.0045980118191974,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606497
7,PI3K/AKT/mTOR  Signaling,0.0097956843929607,MAP2K3;LCK;CDK1;EGFR,606497
10,KRAS Signaling Up,0.0123887890362058,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606497
8,Estrogen Response Late,0.0123887890362058,PLK4;RET;CA2;PGR;HPRT1,606497
9,Apical Junction,0.0123887890362058,KCNH2;SYK;CDH11;MAPK14;EGFR,606497
11,Spermatogenesis,0.0161346402917664,CDK1;TTK;HSPA2;AURKA,606497
12,DNA Repair,0.0215463881923554,POLE4;LIG1;HPRT1;ADA,606497
13,Androgen Response,0.0404780050807868,STK39;PTK2B;MERTK,606497
15,TNF-alpha Signaling via NF-kB,0.0435886004322933,MAP2K3;PLK2;SIK1;PTGS2,606497
14,IL-2/STAT5 Signaling,0.0435886004322933,CA2;PIM1;AHR;HIPK2,606497
16,Glycolysis,0.0435886004322933,CDK1;MERTK;EGFR;AURKA,606497
0,E2F Targets,2.898452351012945e-05,POLE4;PLK4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,606498
1,Complement,0.0001473202678322468,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,606498
2,UV Response Up,0.00019389238398477565,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,606498
3,G2-M Checkpoint,0.0005256430216897934,PLK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,606498
4,Allograft Rejection,0.0005256430216897934,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606498
5,Xenobiotic Metabolism,0.0033495748004159,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606498
6,Spermatogenesis,0.0033495748004159,CDK1;NEK2;TTK;HSPA2;AURKA,606498
7,UV Response Dn,0.0039251320407783,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606498
8,PI3K/AKT/mTOR  Signaling,0.0084949024546,MAP2K3;LCK;CDK1;EGFR,606498
9,Mitotic Spindle,0.0102271429191943,CDK1;NEK2;TTK;MARK4;AURKA,606498
10,Estrogen Response Late,0.0102271429191943,PLK4;RET;CA2;PGR;HPRT1,606498
11,Apical Junction,0.0102271429191943,KCNH2;SYK;CDH11;MAPK14;EGFR,606498
12,KRAS Signaling Up,0.0102271429191943,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606498
13,DNA Repair,0.019519376062761,POLE4;LIG1;HPRT1;ADA,606498
14,TNF-alpha Signaling via NF-kB,0.0451833053261577,MAP2K3;PLK2;SIK1;PTGS2,606498
15,Glycolysis,0.0451833053261577,CDK1;MERTK;EGFR;AURKA,606498
0,Complement,2.8259910422376216e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS;PIK3CG,606499
1,E2F Targets,0.0008541699102459143,WEE1;MELK;LIG1;CHEK1;CDK1;DCK;AURKA,606499
2,Allograft Rejection,0.0008541699102459143,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606499
3,UV Response Up,0.0013931542829222,KCNH2;RET;CA2;NTRK3;PRKCD;HSPA2,606499
4,Apical Junction,0.0039548326547515,KCNH2;MAP4K2;SYK;CDH11;MAPK14;EGFR,606499
5,UV Response Dn,0.0051026716530118,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606499
6,G2-M Checkpoint,0.0144032262778653,CHEK1;CDK1;TTK;MAPK14;AURKA,606499
7,Xenobiotic Metabolism,0.0144032262778653,CA2;AKR1C3;HPRT1;PGD;ESR1,606499
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606499
9,Spermatogenesis,0.0184171016013334,CDK1;TTK;HSPA2;AURKA,606499
10,Androgen Response,0.0490044141332807,STK39;PTK2B;MERTK,606499
0,Epithelial Mesenchymal Transition,0.0092181244031992,POSTN;COL3A1;MMP1;MGP;MMP3;BGN,606869
1,Angiogenesis,0.0092181244031992,POSTN;COL3A1;PRG2,606869
2,Allograft Rejection,0.0265905715899052,SIT1;CD7;CD3E;CD3D;ELANE,606869
0,UV Response Up,4.9808756377585315e-05,KCNH2;RET;CA2;NTRK3;POLE3;PRKCD;TYRO3;HSPA2,606985
1,Complement,0.00014363726113644063,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;CTSS,606985
2,E2F Targets,0.0006406274326844358,POLE4;WEE1;MELK;LIG1;CHEK1;CDK1;DCK,606985
3,Allograft Rejection,0.0006406274326844358,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606985
4,Xenobiotic Metabolism,0.0039548326547515,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606985
5,UV Response Dn,0.0051026716530118,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606985
6,G2-M Checkpoint,0.0144032262778653,CHEK1;CDK1;NEK2;TTK;MAPK14,606985
7,Apical Junction,0.0144032262778653,KCNH2;SYK;CDH11;MAPK14;EGFR,606985
8,KRAS Signaling Up,0.0144032262778653,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606985
9,Spermatogenesis,0.0184171016013334,CDK1;NEK2;TTK;HSPA2,606985
10,DNA Repair,0.0242217712051534,POLE4;LIG1;HPRT1;ADA,606985
11,PI3K/AKT/mTOR  Signaling,0.046990637539204,LCK;CDK1;EGFR,606985
12,Mitotic Spindle,0.046990637539204,CDK1;NEK2;TTK;MARK4,606985
13,Estrogen Response Late,0.046990637539204,RET;CA2;PGR;HPRT1,606985
14,Myc Targets V1,0.046990637539204,HDAC2;RUVBL2;POLE3;HPRT1,606985
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,606986
1,G2-M Checkpoint,0.00010066884968536863,PLK4;CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,606986
2,E2F Targets,0.00010066884968536863,PLK4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,606986
3,PI3K/AKT/mTOR  Signaling,0.00011924381615063702,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,606986
4,UV Response Up,0.00011924381615063702,KCNH2;RET;CA2;PPAT;NTRK3;PRKCD;HSPA2,606986
5,Allograft Rejection,0.0004489867476933652,MAP4K1;ITK;ZAP70;LCK;ITGAL;EGFR;CTSS,606986
6,Xenobiotic Metabolism,0.0029697461326888,ALDH2;CA2;AKR1C3;HPRT1;PGD;ESR1,606986
7,Spermatogenesis,0.003004149899123,CDK1;NEK2;TTK;HSPA2;AURKA,606986
8,UV Response Dn,0.0035762314149313,PDGFRB;ERBB2;PIK3CD;FYN;MAPK14,606986
9,Mitotic Spindle,0.0104828214921741,CDK1;NEK2;TTK;MARK4;AURKA,606986
10,Estrogen Response Late,0.0104828214921741,PLK4;RET;CA2;PGR;HPRT1,606986
11,Apical Junction,0.0104828214921741,KCNH2;SYK;CDH11;MAPK14;EGFR,606986
12,KRAS Signaling Up,0.0104828214921741,MAP4K1;CA2;PTGS2;EPHB2;CTSS,606986
13,Androgen Response,0.0404780050807868,STK39;PTK2B;MERTK,606986
14,TNF-alpha Signaling via NF-kB,0.0435886004322933,MAP2K3;PLK2;SIK1;PTGS2,606986
15,Myc Targets V1,0.0435886004322933,HDAC2;CDK4;RUVBL2;HPRT1,606986
16,Glycolysis,0.0435886004322933,CDK1;MERTK;EGFR;AURKA,606986
0,Epithelial Mesenchymal Transition,0.0432096788335959,COL1A2;LUM;MMP1;MGP;MMP3,609699
1,Allograft Rejection,0.0432096788335959,SIT1;IL2RG;CD3E;CD3D;ELANE,609699
0,Complement,2.9709136597882687e-05,CA2;CTSL;LCK;FDX1;PRKCD;PIM1;FYN;RAF1;CTSS,610456
1,E2F Targets,0.00014905477018829628,POLE4;WEE1;MELK;CDK4;CHEK1;CDK1;DCK;AURKA,610456
2,PI3K/AKT/mTOR  Signaling,0.00014905477018829628,MAP2K3;CDK4;LCK;CDK1;RAF1;EGFR,610456
3,UV Response Up,0.00014905477018829628,KCNH2;RET;CA2;NTRK3;PRKCD;TYRO3;HSPA2,610456
4,G2-M Checkpoint,0.0004489867476933652,CDK4;CHEK1;CDK1;NEK2;TTK;MAPK14;AURKA,610456
